Datum Zeit,Chemnitz-Leipziger Str. NO
,µg/m³
01-01-06 00:00,4
31-12-05 23:00,10
31-12-05 22:00,10
31-12-05 21:00,10
31-12-05 20:00,19
31-12-05 19:00,29
31-12-05 18:00,30
31-12-05 17:00,16
31-12-05 16:00,35
31-12-05 15:00,51
31-12-05 14:00,20
31-12-05 13:00,27
31-12-05 12:00,38
31-12-05 11:00,38
31-12-05 10:00,36
31-12-05 09:00,23
31-12-05 08:00,19
31-12-05 07:00,20
31-12-05 06:00,15
31-12-05 05:00,9
31-12-05 04:00,9
31-12-05 03:00,12
31-12-05 02:00,30
31-12-05 01:00,39
31-12-05 00:00,46
30-12-05 23:00,54
30-12-05 22:00,62
30-12-05 21:00,113
30-12-05 20:00,143
30-12-05 19:00,138
30-12-05 18:00,149
30-12-05 17:00,157
30-12-05 16:00,132
30-12-05 15:00,147
30-12-05 14:00,118
30-12-05 13:00,143
30-12-05 12:00,168
30-12-05 11:00,196
30-12-05 10:00,186
30-12-05 09:00,275
30-12-05 08:00,199
30-12-05 07:00,117
30-12-05 06:00,105
30-12-05 05:00,83
30-12-05 04:00,8
30-12-05 03:00,10
30-12-05 02:00,10
30-12-05 01:00,12
30-12-05 00:00,18
29-12-05 23:00,18
29-12-05 22:00,33
29-12-05 21:00,35
29-12-05 20:00,42
29-12-05 19:00,52
29-12-05 18:00,57
29-12-05 17:00,63
29-12-05 16:00,72
29-12-05 15:00,70
29-12-05 14:00,59
29-12-05 13:00,56
29-12-05 12:00,47
29-12-05 11:00,59
29-12-05 10:00,61
29-12-05 09:00,49
29-12-05 08:00,52
29-12-05 07:00,46
29-12-05 06:00,39
29-12-05 05:00,13
29-12-05 04:00,6
29-12-05 03:00,11
29-12-05 02:00,13
29-12-05 01:00,11
29-12-05 00:00,14
28-12-05 23:00,10
28-12-05 22:00,11
28-12-05 21:00,9
28-12-05 20:00,13
28-12-05 19:00,26
28-12-05 18:00,14
28-12-05 17:00,21
28-12-05 16:00,19
28-12-05 15:00,20
28-12-05 14:00,34
28-12-05 13:00,37
28-12-05 12:00,36
28-12-05 11:00,37
28-12-05 10:00,18
28-12-05 09:00,17
28-12-05 08:00,15
28-12-05 07:00,8
28-12-05 06:00,7
28-12-05 05:00,2
28-12-05 04:00,2
28-12-05 03:00,2
28-12-05 02:00,1
28-12-05 01:00,1
28-12-05 00:00,2
27-12-05 23:00,2
27-12-05 22:00,4
27-12-05 21:00,4
27-12-05 20:00,9
27-12-05 19:00,9
27-12-05 18:00,13
27-12-05 17:00,11
27-12-05 16:00,21
27-12-05 15:00,14
27-12-05 14:00,21
27-12-05 13:00,24
27-12-05 12:00,33
27-12-05 11:00,54
27-12-05 10:00,55
27-12-05 09:00,63
27-12-05 08:00,29
27-12-05 07:00,17
27-12-05 06:00,10
27-12-05 05:00,4
27-12-05 04:00,4
27-12-05 03:00,13
27-12-05 02:00,13
27-12-05 01:00,16
27-12-05 00:00,38
26-12-05 23:00,80
26-12-05 22:00,75
26-12-05 21:00,80
26-12-05 20:00,83
26-12-05 19:00,104
26-12-05 18:00,100
26-12-05 17:00,103
26-12-05 16:00,81
26-12-05 15:00,54
26-12-05 14:00,30
26-12-05 13:00,25
26-12-05 12:00,57
26-12-05 11:00,30
26-12-05 10:00,19
26-12-05 09:00,5
26-12-05 08:00,7
26-12-05 07:00,5
26-12-05 06:00,3
26-12-05 05:00,4
26-12-05 04:00,5
26-12-05 03:00,6
26-12-05 02:00,19
26-12-05 01:00,11
26-12-05 00:00,24
25-12-05 23:00,53
25-12-05 22:00,57
25-12-05 21:00,56
25-12-05 20:00,47
25-12-05 19:00,53
25-12-05 18:00,59
25-12-05 17:00,58
25-12-05 16:00,76
25-12-05 15:00,31
25-12-05 14:00,14
25-12-05 13:00,11
25-12-05 12:00,19
25-12-05 11:00,8
25-12-05 10:00,5
25-12-05 09:00,2
25-12-05 08:00,2
25-12-05 07:00,1
25-12-05 06:00,1
25-12-05 05:00,2
25-12-05 04:00,1
25-12-05 03:00,1
