Datum Zeit,Klingenthal NO
,µg/m³
01-01-06 00:00,1
31-12-05 23:00,3
31-12-05 22:00,3
31-12-05 21:00,19
31-12-05 20:00,18
31-12-05 19:00,20
31-12-05 18:00,7
31-12-05 17:00,7
31-12-05 16:00,4
31-12-05 15:00,7
31-12-05 14:00,6
31-12-05 13:00,5
31-12-05 12:00,5
31-12-05 11:00,7
31-12-05 10:00,2
31-12-05 09:00,1
31-12-05 08:00,4
31-12-05 07:00,1
31-12-05 06:00,1
31-12-05 05:00,1
31-12-05 04:00,1
31-12-05 03:00,1
31-12-05 02:00,1
31-12-05 01:00,1
31-12-05 00:00,1
30-12-05 23:00,1
30-12-05 22:00,1
30-12-05 21:00,2
30-12-05 20:00,1
30-12-05 19:00,2
30-12-05 18:00,2
30-12-05 17:00,1
30-12-05 16:00,3
30-12-05 15:00,3
30-12-05 14:00,4
30-12-05 13:00,6
30-12-05 12:00,7
30-12-05 11:00,16
30-12-05 10:00,17
30-12-05 09:00,19
30-12-05 08:00,6
30-12-05 07:00,2
30-12-05 06:00,1
30-12-05 05:00,3
30-12-05 04:00,1
30-12-05 03:00,1
30-12-05 02:00,1
30-12-05 01:00,1
30-12-05 00:00,2
29-12-05 23:00,1
29-12-05 22:00,1
29-12-05 21:00,2
29-12-05 20:00,3
29-12-05 19:00,1
29-12-05 18:00,1
29-12-05 17:00,2
29-12-05 16:00,2
29-12-05 15:00,3
29-12-05 14:00,3
29-12-05 13:00,4
29-12-05 12:00,4
29-12-05 11:00,3
29-12-05 10:00,1
29-12-05 09:00,2
29-12-05 08:00,4
29-12-05 07:00,1
29-12-05 06:00,9
29-12-05 05:00,1
29-12-05 04:00,1
29-12-05 03:00,1
29-12-05 02:00,1
29-12-05 01:00,1
29-12-05 00:00,1
28-12-05 23:00,1
28-12-05 22:00,2
28-12-05 21:00,3
28-12-05 20:00,6
28-12-05 19:00,14
28-12-05 18:00,14
28-12-05 17:00,8
28-12-05 16:00,12
28-12-05 15:00,11
28-12-05 14:00,10
28-12-05 13:00,11
28-12-05 12:00,13
28-12-05 11:00,21
28-12-05 10:00,28
28-12-05 09:00,15
28-12-05 08:00,8
28-12-05 07:00,4
28-12-05 06:00,3
28-12-05 05:00,7
28-12-05 04:00,3
28-12-05 03:00,1
28-12-05 02:00,2
28-12-05 01:00,1
28-12-05 00:00,1
27-12-05 23:00,1
27-12-05 22:00,2
27-12-05 21:00,2
27-12-05 20:00,5
27-12-05 19:00,4
27-12-05 18:00,2
27-12-05 17:00,3
27-12-05 16:00,2
27-12-05 15:00,1
27-12-05 14:00,2
27-12-05 13:00,2
27-12-05 12:00,7
27-12-05 11:00,43
27-12-05 10:00,30
27-12-05 09:00,19
27-12-05 08:00,7
27-12-05 07:00,2
27-12-05 06:00,5
27-12-05 05:00,2
27-12-05 04:00,1
27-12-05 03:00,1
27-12-05 02:00,1
27-12-05 01:00,3
27-12-05 00:00,3
26-12-05 23:00,4
26-12-05 22:00,9
26-12-05 21:00,10
26-12-05 20:00,19
26-12-05 19:00,24
26-12-05 18:00,13
26-12-05 17:00,9
26-12-05 16:00,18
26-12-05 15:00,11
26-12-05 14:00,2
26-12-05 13:00,3
26-12-05 12:00,5
26-12-05 11:00,14
26-12-05 10:00,10
26-12-05 09:00,1
26-12-05 08:00,1
26-12-05 07:00,1
26-12-05 06:00,2
26-12-05 05:00,1
26-12-05 04:00,1
26-12-05 03:00,1
26-12-05 02:00,1
26-12-05 01:00,1
26-12-05 00:00,3
25-12-05 23:00,8
25-12-05 22:00,6
25-12-05 21:00,6
25-12-05 20:00,7
25-12-05 19:00,9
25-12-05 18:00,7
25-12-05 17:00,8
25-12-05 16:00,5
25-12-05 15:00,3
25-12-05 14:00,2
25-12-05 13:00,2
25-12-05 12:00,2
25-12-05 11:00,2
25-12-05 10:00,1
25-12-05 09:00,1
25-12-05 08:00,1
25-12-05 07:00,1
25-12-05 06:00,1
25-12-05 05:00,1
25-12-05 04:00,1
25-12-05 03:00,1
25-12-05 02:00,1
25-12-05 01:00,1
25-12-05 00:00,1
24-12-05 23:00,1
24-12-05 22:00,1
24-12-05 21:00,1
24-12-05 20:00,1
24-12-05 19:00,2
24-12-05 18:00,1
24-12-05 17:00,1
24-12-05 16:00,2
24-12-05 15:00,2
24-12-05 14:00,3
24-12-05 13:00,4
24-12-05 12:00,5
24-12-05 11:00,4
24-12-05 10:00,2
24-12-05 09:00,1
24-12-05 08:00,1
24-12-05 07:00,2
24-12-05 06:00,1
24-12-05 05:00,1
24-12-05 04:00,1
24-12-05 03:00,3
24-12-05 02:00,3
24-12-05 01:00,3
24-12-05 00:00,5
23-12-05 23:00,5
23-12-05 22:00,7
23-12-05 21:00,8
23-12-05 20:00,8
23-12-05 19:00,8
23-12-05 18:00,14
23-12-05 17:00,11
23-12-05 16:00,16
23-12-05 15:00,18
23-12-05 14:00,18
23-12-05 13:00,20
23-12-05 12:00,22
23-12-05 11:00,23
23-12-05 10:00,33
23-12-05 09:00,29
23-12-05 08:00,13
23-12-05 07:00,8
23-12-05 06:00,7
23-12-05 05:00,2
23-12-05 04:00,1
23-12-05 03:00,1
23-12-05 02:00,1
23-12-05 01:00,1
23-12-05 00:00,1
22-12-05 23:00,1
22-12-05 22:00,2
22-12-05 21:00,2
22-12-05 20:00,3
22-12-05 19:00,6
22-12-05 18:00,6
22-12-05 17:00,6
22-12-05 16:00,11
22-12-05 15:00,13
22-12-05 14:00,16
22-12-05 13:00,15
22-12-05 12:00,13
22-12-05 11:00,11
22-12-05 10:00,6
22-12-05 09:00,3
22-12-05 08:00,4
22-12-05 07:00,1
22-12-05 06:00,1
22-12-05 05:00,1
22-12-05 04:00,1
22-12-05 03:00,1
22-12-05 02:00,1
22-12-05 01:00,1
22-12-05 00:00,1
21-12-05 23:00,1
21-12-05 22:00,2
21-12-05 21:00,10
21-12-05 20:00,6
21-12-05 19:00,12
21-12-05 18:00,10
21-12-05 17:00,10
21-12-05 16:00,12
21-12-05 15:00,12
