Datum Zeit,Radebeul-Wahnsdorf BEN
,µg/m³
01-01-06 00:00,1.9
31-12-05 23:00,2.0
31-12-05 22:00,2.0
31-12-05 21:00,2.1
31-12-05 20:00,2.1
31-12-05 19:00,2.1
31-12-05 18:00,2.4
31-12-05 17:00,1.7
31-12-05 16:00,1.7
31-12-05 15:00,1.8
31-12-05 14:00,2.1
31-12-05 13:00,1.9
31-12-05 12:00,1.8
31-12-05 11:00,1.6
31-12-05 10:00,1.6
31-12-05 09:00,1.2
31-12-05 08:00,1.4
31-12-05 07:00,1.8
31-12-05 06:00,2.1
31-12-05 05:00,3.5
31-12-05 04:00,2.5
31-12-05 03:00,2.8
31-12-05 02:00,3.1
31-12-05 01:00,3.1
31-12-05 00:00,2.4
30-12-05 23:00,2.8
30-12-05 22:00,3.5
30-12-05 21:00,3.1
30-12-05 20:00,2.5
30-12-05 19:00,2.7
30-12-05 18:00,3.2
30-12-05 17:00,2.8
30-12-05 16:00,1.7
30-12-05 15:00,1.5
30-12-05 14:00,1.6
30-12-05 13:00,2.1
30-12-05 12:00,2.0
30-12-05 11:00,1.8
30-12-05 10:00,1.9
30-12-05 09:00,1.9
30-12-05 08:00,1.8
30-12-05 07:00,1.5
30-12-05 06:00,1.6
30-12-05 05:00,0.9
30-12-05 04:00,0.9
30-12-05 03:00,1.2
30-12-05 02:00,1.4
30-12-05 01:00,1.4
30-12-05 00:00,1.7
29-12-05 23:00,1.6
29-12-05 22:00,1.7
29-12-05 21:00,1.2
29-12-05 20:00,1.0
29-12-05 19:00,1.2
29-12-05 18:00,1.2
29-12-05 17:00,0.8
29-12-05 16:00,0.8
29-12-05 15:00,0.8
29-12-05 14:00,0.9
29-12-05 13:00,1.4
29-12-05 12:00,1.0
29-12-05 11:00,1.2
29-12-05 10:00,1.3
29-12-05 09:00,1.5
29-12-05 08:00,1.8
29-12-05 07:00,1.6
29-12-05 06:00,1.6
29-12-05 05:00,1.7
29-12-05 04:00,1.8
29-12-05 03:00,1.9
29-12-05 02:00,1.9
29-12-05 01:00,2.0
29-12-05 00:00,2.0
28-12-05 23:00,2.1
28-12-05 22:00,2.2
28-12-05 21:00,2.1
28-12-05 20:00,2.0
28-12-05 19:00,1.9
28-12-05 18:00,1.9
28-12-05 17:00,1.8
28-12-05 16:00,2.1
28-12-05 15:00,1.9
28-12-05 14:00,
28-12-05 13:00,
28-12-05 12:00,
28-12-05 11:00,
28-12-05 10:00,
28-12-05 09:00,
28-12-05 08:00,1.1
28-12-05 07:00,0.8
28-12-05 06:00,0.8
28-12-05 05:00,1.1
28-12-05 04:00,1.1
28-12-05 03:00,1.1
28-12-05 02:00,0.9
28-12-05 01:00,1.2
28-12-05 00:00,1.2
27-12-05 23:00,1.2
27-12-05 22:00,1.2
27-12-05 21:00,1.3
