Datum Zeit,Leipzig-Mitte CO
,mg/m3
01-01-06 00:00,0.4
31-12-05 23:00,0.4
31-12-05 22:00,0.6
31-12-05 21:00,0.5
31-12-05 20:00,0.5
31-12-05 19:00,0.6
31-12-05 18:00,0.8
31-12-05 17:00,1.6
31-12-05 16:00,0.7
31-12-05 15:00,0.7
31-12-05 14:00,0.6
31-12-05 13:00,0.7
31-12-05 12:00,0.6
31-12-05 11:00,0.5
31-12-05 10:00,0.4
31-12-05 09:00,0.4
31-12-05 08:00,0.3
31-12-05 07:00,0.4
31-12-05 06:00,0.5
31-12-05 05:00,0.5
31-12-05 04:00,0.7
31-12-05 03:00,0.5
31-12-05 02:00,0.4
31-12-05 01:00,0.7
31-12-05 00:00,0.7
30-12-05 23:00,0.8
30-12-05 22:00,0.7
30-12-05 21:00,1.0
30-12-05 20:00,0.8
30-12-05 19:00,0.9
30-12-05 18:00,1.1
30-12-05 17:00,1.1
30-12-05 16:00,0.7
30-12-05 15:00,0.5
30-12-05 14:00,0.4
30-12-05 13:00,0.5
30-12-05 12:00,0.4
30-12-05 11:00,0.4
30-12-05 10:00,0.5
30-12-05 09:00,0.4
30-12-05 08:00,0.5
30-12-05 07:00,0.6
30-12-05 06:00,0.8
30-12-05 05:00,0.5
30-12-05 04:00,0.5
30-12-05 03:00,0.6
30-12-05 02:00,0.5
30-12-05 01:00,0.4
30-12-05 00:00,0.4
29-12-05 23:00,0.3
29-12-05 22:00,0.4
29-12-05 21:00,0.4
29-12-05 20:00,0.5
29-12-05 19:00,0.6
29-12-05 18:00,0.4
29-12-05 17:00,0.5
29-12-05 16:00,0.5
29-12-05 15:00,0.4
29-12-05 14:00,0.4
29-12-05 13:00,0.4
29-12-05 12:00,0.3
29-12-05 11:00,0.3
29-12-05 10:00,0.3
29-12-05 09:00,0.2
29-12-05 08:00,0.3
29-12-05 07:00,0.2
29-12-05 06:00,0.2
29-12-05 05:00,0.2
29-12-05 04:00,0.3
29-12-05 03:00,0.5
29-12-05 02:00,0.5
29-12-05 01:00,0.6
29-12-05 00:00,0.8
28-12-05 23:00,1.3
28-12-05 22:00,0.8
28-12-05 21:00,0.9
28-12-05 20:00,0.8
28-12-05 19:00,0.9
28-12-05 18:00,0.8
28-12-05 17:00,0.6
28-12-05 16:00,0.5
28-12-05 15:00,0.5
28-12-05 14:00,0.5
28-12-05 13:00,0.5
28-12-05 12:00,0.4
28-12-05 11:00,0.4
28-12-05 10:00,0.4
28-12-05 09:00,0.3
28-12-05 08:00,0.3
28-12-05 07:00,0.4
28-12-05 06:00,0.2
28-12-05 05:00,0.1
28-12-05 04:00,0.1
28-12-05 03:00,0.2
28-12-05 02:00,0.3
28-12-05 01:00,0.4
28-12-05 00:00,0.5
27-12-05 23:00,0.6
27-12-05 22:00,0.5
27-12-05 21:00,0.6
27-12-05 20:00,0.6
27-12-05 19:00,0.9
27-12-05 18:00,0.9
27-12-05 17:00,0.7
27-12-05 16:00,0.6
27-12-05 15:00,0.7
27-12-05 14:00,0.7
27-12-05 13:00,0.8
27-12-05 12:00,0.8
27-12-05 11:00,1.1
27-12-05 10:00,0.7
27-12-05 09:00,0.6
27-12-05 08:00,0.6
27-12-05 07:00,0.7
27-12-05 06:00,0.4
27-12-05 05:00,0.3
27-12-05 04:00,0.3
