Datum Zeit,Borna PM10
,µg/m³
31-07-13,12
30-07-13,20
29-07-13,15
28-07-13,22
27-07-13,38
26-07-13,21
25-07-13,27
24-07-13,25
23-07-13,24
22-07-13,17
21-07-13,14
20-07-13,16
19-07-13,20
18-07-13,22
17-07-13,22
16-07-13,26
15-07-13,14
14-07-13,21
13-07-13,19
12-07-13,18
11-07-13,17
10-07-13,24
09-07-13,
08-07-13,16
07-07-13,17
06-07-13,20
05-07-13,31
04-07-13,15
03-07-13,18
02-07-13,15
01-07-13,13

