Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-07-13,5.65
30-07-13,6.13
29-07-13,7.19
28-07-13,10.89
27-07-13,15.60
26-07-13,14.90
25-07-13,14.30
24-07-13,10.02
23-07-13,12.39
22-07-13,8.68
21-07-13,8.52
20-07-13,8.51
19-07-13,10.34
18-07-13,13.97
17-07-13,13.11
16-07-13,11.36
15-07-13,7.35
14-07-13,11.25
13-07-13,9.45
12-07-13,7.28
11-07-13,5.58
10-07-13,13.71
09-07-13,18.81
08-07-13,13.84
07-07-13,11.53
06-07-13,14.24
05-07-13,15.51
04-07-13,8.32
03-07-13,11.67
02-07-13,10.27
01-07-13,6.89

