Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-07-13,7.68
30-07-13,11.94
29-07-13,10.43
28-07-13,13.19
27-07-13,16.82
26-07-13,17.42
25-07-13,19.74
24-07-13,12.28
23-07-13,16.74
22-07-13,12.44
21-07-13,8.97
20-07-13,11.14
19-07-13,12.89
18-07-13,18.97
17-07-13,16.88
16-07-13,15.29
15-07-13,8.91
14-07-13,10.95
13-07-13,10.66
12-07-13,9.31
11-07-13,8.30
10-07-13,14.15
09-07-13,20.33
08-07-13,15.24
07-07-13,12.94
06-07-13,15.58
05-07-13,18.98
04-07-13,11.84
03-07-13,13.35
02-07-13,13.64
01-07-13,10.08

