Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-07-13,51.27
30-07-13,18.08
29-07-13,16.64
28-07-13,13.75
27-07-13,15.96
26-07-13,16.01
25-07-13,15.31
24-07-13,13.97
23-07-13,13.89
22-07-13,11.61
21-07-13,9.28
20-07-13,12.13
19-07-13,14.87
18-07-13,15.57
17-07-13,15.38
16-07-13,15.76
15-07-13,9.98
14-07-13,15.95
13-07-13,14.58
12-07-13,13.50
11-07-13,9.03
10-07-13,18.25
09-07-13,20.03
08-07-13,12.92
07-07-13,13.43
06-07-13,15.38
05-07-13,22.65
04-07-13,10.67
03-07-13,11.28
02-07-13,12.21
01-07-13,10.61

