Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-07-13,4.40
30-07-13,6.92
29-07-13,4.59
28-07-13,9.39
27-07-13,14.07
26-07-13,13.27
25-07-13,10.46
24-07-13,14.03
23-07-13,12.91
22-07-13,8.91
21-07-13,7.91
20-07-13,11.26
19-07-13,10.87
18-07-13,12.58
17-07-13,14.62
16-07-13,17.13
15-07-13,9.77
14-07-13,11.99
13-07-13,10.34
12-07-13,10.31
11-07-13,6.81
10-07-13,13.70
09-07-13,16.61
08-07-13,12.40
07-07-13,9.50
06-07-13,14.15
05-07-13,16.66
04-07-13,6.20
03-07-13,7.64
02-07-13,7.51
01-07-13,6.78

