Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-07-13,5.14
30-07-13,5.88
29-07-13,6.35
28-07-13,11.86
27-07-13,13.62
26-07-13,13.13
25-07-13,16.06
24-07-13,10.73
23-07-13,12.95
22-07-13,8.91
21-07-13,5.46
20-07-13,7.67
19-07-13,9.23
18-07-13,8.00
17-07-13,11.23
16-07-13,12.01
15-07-13,6.55
14-07-13,12.07
13-07-13,8.73
12-07-13,7.66
11-07-13,4.90
10-07-13,7.97
09-07-13,16.10
08-07-13,8.11
07-07-13,8.48
06-07-13,10.40
05-07-13,12.65
04-07-13,6.45
03-07-13,7.37
02-07-13,7.61
01-07-13,5.76

