Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-10-15,34.50
30-10-15,41.75
29-10-15,38.86
28-10-15,32.74
27-10-15,27.30
26-10-15,16.03
25-10-15,22.32
24-10-15,20.89
23-10-15,14.36
22-10-15,17.78
21-10-15,31.65
20-10-15,22.72
19-10-15,32.44
18-10-15,18.87
17-10-15,17.70
16-10-15,16.01
15-10-15,17.52
14-10-15,21.41
13-10-15,25.90
12-10-15,21.89
11-10-15,16.70
10-10-15,21.91
09-10-15,26.94
08-10-15,16.25
07-10-15,16.41
06-10-15,26.38
05-10-15,30.89
04-10-15,30.27
03-10-15,24.26
02-10-15,19.57
01-10-15,13.93

