Datum Zeit,Borna PM2.5
,µg/m³
31-10-15,
30-10-15,
29-10-15,
28-10-15,
27-10-15,
26-10-15,
25-10-15,
24-10-15,
23-10-15,
22-10-15,
21-10-15,
20-10-15,
19-10-15,
18-10-15,
17-10-15,
16-10-15,
15-10-15,
14-10-15,
13-10-15,
12-10-15,
11-10-15,
10-10-15,
09-10-15,
08-10-15,
07-10-15,
06-10-15,
05-10-15,
04-10-15,
03-10-15,
02-10-15,
01-10-15,

