Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-10-15,21.15
30-10-15,41.10
29-10-15,37.50
28-10-15,27.61
27-10-15,22.39
26-10-15,18.17
25-10-15,26.49
24-10-15,17.67
23-10-15,10.92
22-10-15,13.80
21-10-15,27.87
20-10-15,20.58
19-10-15,27.25
18-10-15,20.19
17-10-15,15.57
16-10-15,13.74
15-10-15,16.30
14-10-15,18.12
13-10-15,25.69
12-10-15,18.10
11-10-15,14.74
10-10-15,17.18
09-10-15,22.79
08-10-15,10.32
07-10-15,17.87
06-10-15,26.02
05-10-15,22.14
04-10-15,22.49
03-10-15,20.03
02-10-15,15.45
01-10-15,11.83

