Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-10-15,21.81
30-10-15,42.08
29-10-15,34.07
28-10-15,29.19
27-10-15,19.94
26-10-15,16.97
25-10-15,23.25
24-10-15,16.60
23-10-15,8.12
22-10-15,10.03
21-10-15,24.52
20-10-15,17.30
19-10-15,25.98
18-10-15,17.79
17-10-15,12.69
16-10-15,10.22
15-10-15,14.60
14-10-15,17.89
13-10-15,26.97
12-10-15,19.16
11-10-15,14.30
10-10-15,18.42
09-10-15,23.65
08-10-15,9.45
07-10-15,17.69
06-10-15,24.89
05-10-15,21.91
04-10-15,18.16
03-10-15,16.51
02-10-15,12.58
01-10-15,10.87

