Datum Zeit,Collmberg PM2.5
,µg/m³
31-10-15,25.00
30-10-15,23.14
29-10-15,26.08
28-10-15,28.44
27-10-15,20.73
26-10-15,8.81
25-10-15,16.35
24-10-15,11.10
23-10-15,5.26
22-10-15,13.76
21-10-15,15.55
20-10-15,7.89
19-10-15,20.46
18-10-15,12.50
17-10-15,6.11
16-10-15,7.17
15-10-15,5.07
14-10-15,9.52
13-10-15,21.97
12-10-15,19.43
11-10-15,14.72
10-10-15,18.64
09-10-15,20.45
08-10-15,3.34
07-10-15,8.49
06-10-15,23.40
05-10-15,21.20
04-10-15,18.18
03-10-15,13.44
02-10-15,10.26
01-10-15,8.59

