Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-10-15,30.74
30-10-15,41.85
29-10-15,33.73
28-10-15,28.43
27-10-15,22.54
26-10-15,14.78
25-10-15,18.85
24-10-15,15.97
23-10-15,9.56
22-10-15,13.82
21-10-15,26.64
20-10-15,19.18
19-10-15,27.33
18-10-15,15.48
17-10-15,12.90
16-10-15,11.42
15-10-15,14.97
14-10-15,18.36
13-10-15,21.87
12-10-15,17.91
11-10-15,14.20
10-10-15,18.44
09-10-15,23.15
08-10-15,11.54
07-10-15,13.05
06-10-15,18.83
05-10-15,24.71
04-10-15,23.18
03-10-15,17.44
02-10-15,11.76
01-10-15,9.21

