Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_As,PM10_BaP,PM10_Cd,PM10_HVS,PM10_Ni,PM10_Pb,PM10_TEOM,PM10_eCT,PM10_oCT,PM2.5,RUSS_PM1,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,ng/m3,ng/m3,ng/m3,µg/m³,ng/m3,ng/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2019-03-01,,,,,,,,,,,15.53,,,,,,NaN,,,,,,
2019-03-01,01:00,,1012,68.0,2,12,,,,,,,,28,,,,,,0,10.1,0.9,285
2019-03-01,02:00,,1012,73.2,2,10,,,,,,,,20,,,,,,0,9.3,0.6,250
2019-03-01,03:00,,1012,76.5,6,23,,,,,,,,16,,,,,,0,8.7,0.6,203
2019-03-01,04:00,,1011,80.3,1,8,,,,,,,,17,,,,,,0,8.3,0.7,220
2019-03-01,05:00,,1011,87.1,8,20,,,,,,,,15,,,,,,0,7.8,0.4,188
2019-03-01,06:00,,1010,92.6,26,35,,,,,,,,12,,,,,,0,7.1,0.6,187
2019-03-01,07:00,,1010,92.8,82,45,,,,,,,,15,,,,,,0,7.2,0.3,191
2019-03-01,08:00,,1010,92.2,113,51,,,,,,,,19,,,,,,9,7.4,0.4,189
2019-03-01,09:00,,1010,88.3,57,49,,,,,,,,14,,,,,,24,8.1,0.4,198
2019-03-01,10:00,,1010,80.8,21,25,,,,,,,,8,,,,,,112,9.2,0.7,236
2019-03-01,11:00,,1010,76.3,14,19,,,,,,,,6,,,,,,139,10.1,0.9,248
2019-03-01,12:00,,1010,74.7,11,14,,,,,,,,10,,,,,,148,10.4,1.3,267
2019-03-01,13:00,,1009,73.9,6,11,,,,,,,,7,,,,,,147,10.5,1.2,267
2019-03-01,14:00,,1009,76.3,16,17,,,,,,,,7,,,,,,102,10.0,1.6,313
2019-03-01,15:00,,1009,74.1,20,19,,,,,,,,12,,,,,,119,10.2,1.9,302
2019-03-01,16:00,,1010,69.9,6,10,,,,,,,,11,,,,,,108,10.4,2.8,297
2019-03-01,17:00,,1010,79.1,3,8,,,,,,,,8,,,,,,44,9.4,2.2,288
2019-03-01,18:00,,1010,82.2,21,37,,,,,,,,6,,,,,,8,9.2,0.5,272
2019-03-01,19:00,,1011,89.4,18,27,,,,,,,,9,,,,,,0,7.7,1.5,348
2019-03-01,20:00,,1011,91.7,21,34,,,,,,,,17,,,,,,0,7.5,0.4,326
2019-03-01,21:00,,1012,93.3,10,20,,,,,,,,22,,,,,,0,6.5,1.9,352
2019-03-01,22:00,,1013,94.9,3,13,,,,,,,,31,,,,,,0,5.2,2.6,349
2019-03-01,23:00,,1013,96.2,4,13,,,,,,,,34,,,,,,0,4.1,2.6,11
2019-03-02,,,,,,,,,,,19.57,,,,,,NaN,,,,,,
2019-03-02,00:00,,1014,97.0,4,11,,,,,,,,28,,,,,,0,2.5,2.3,23
2019-03-02,01:00,,1014,96.0,4,12,,,,,,,,22,,,,,,0,2.4,1.1,19
2019-03-02,02:00,,1015,94.9,1,10,,,,,,,,23,,,,,,0,2.7,0.7,6
2019-03-02,03:00,,1015,95.1,3,10,,,,,,,,23,,,,,,0,2.5,0.7,21
2019-03-02,04:00,,1014,95.0,4,11,,,,,,,,22,,,,,,0,2.7,0.3,15
2019-03-02,05:00,,1014,94.0,3,12,,,,,,,,19,,,,,,0,3.1,0.3,91
2019-03-02,06:00,,1014,93.9,4,12,,,,,,,,14,,,,,,0,3.0,0.3,157
2019-03-02,07:00,,1014,95.2,11,12,,,,,,,,15,,,,,,0,3.1,0.2,298
2019-03-02,08:00,,1014,94.1,22,25,,,,,,,,17,,,,,,3,3.5,0.2,49
2019-03-02,09:00,,1015,95.9,21,27,,,,,,,,16,,,,,,19,2.9,0.4,71
2019-03-02,10:00,,1014,93.3,24,26,,,,,,,,15,,,,,,46,3.7,0.3,164
2019-03-02,11:00,,1015,91.6,26,32,,,,,,,,14,,,,,,65,4.2,0.3,193
2019-03-02,12:00,,1014,87.6,20,21,,,,,,,,10,,,,,,149,5.4,0.5,192
2019-03-02,13:00,,1014,84.3,25,24,,,,,,,,8,,,,,,110,6.4,0.4,222
2019-03-02,14:00,,1014,79.6,6,13,,,,,,,,9,,,,,,88,6.6,0.7,242
2019-03-02,15:00,,1014,80.6,5,13,,,,,,,,10,,,,,,41,6.4,0.7,220
2019-03-02,16:00,,1014,84.2,16,24,,,,,,,,14,,,,,,52,6.3,0.6,202
2019-03-02,17:00,,1014,84.5,12,22,,,,,,,,18,,,,,,20,6.4,0.6,205
2019-03-02,18:00,,1014,85.8,31,37,,,,,,,,23,,,,,,2,6.4,0.4,182
2019-03-02,19:00,,1014,87.8,36,38,,,,,,,,28,,,,,,0,6.0,0.5,183
2019-03-02,20:00,,1014,88.3,25,36,,,,,,,,30,,,,,,0,6.1,0.4,182
2019-03-02,21:00,,1014,87.4,10,21,,,,,,,,26,,,,,,0,6.3,0.5,192
2019-03-02,22:00,,1014,89.4,5,17,,,,,,,,26,,,,,,0,6.2,0.8,175
2019-03-02,23:00,,1013,87.9,4,12,,,,,,,,27,,,,,,0,6.9,0.9,182
2019-03-03,,,,,,,,,,,8.10,,,,,,NaN,,,,,,
2019-03-03,00:00,,1013,87.4,2,8,,,,,,,,24,,,,,,0,7.3,0.9,186
2019-03-03,01:00,,1013,87.7,2,9,,,,,,,,21,,,,,,0,7.5,0.8,193
2019-03-03,02:00,,1013,86.6,3,8,,,,,,,,16,,,,,,0,7.8,0.6,202
2019-03-03,03:00,,1012,88.1,3,7,,,,,,,,11,,,,,,0,7.9,0.8,203
2019-03-03,04:00,,1012,86.3,1,4,,,,,,,,7,,,,,,0,8.3,1.1,214
2019-03-03,05:00,,1012,81.4,1,4,,,,,,,,6,,,,,,0,8.4,1.2,212
2019-03-03,06:00,,1012,80.9,3,6,,,,,,,,7,,,,,,0,8.2,0.8,203
2019-03-03,07:00,,1011,81.3,2,5,,,,,,,,8,,,,,,0,8.1,0.9,198
2019-03-03,08:00,,1011,80.3,3,6,,,,,,,,8,,,,,,17,8.1,1.2,196
2019-03-03,09:00,,1011,78.5,4,7,,,,,,,,10,,,,,,35,8.7,1.2,206
2019-03-03,10:00,,1010,77.0,3,6,,,,,,,,8,,,,,,48,9.0,1.7,215
2019-03-03,11:00,,1010,76.2,3,7,,,,,,,,9,,,,,,67,9.1,1.9,212
2019-03-03,12:00,,1010,73.4,3,7,,,,,,,,10,,,,,,107,9.9,1.7,212
2019-03-03,13:00,,1010,73.9,4,9,,,,,,,,10,,,,,,63,10.0,1.4,211
2019-03-03,14:00,,1010,72.6,4,9,,,,,,,,10,,,,,,69,10.4,1.3,213
2019-03-03,15:00,,1009,70.5,3,8,,,,,,,,11,,,,,,85,10.9,1.6,217
2019-03-03,16:00,,1009,70.3,3,8,,,,,,,,11,,,,,,38,10.8,1.6,217
2019-03-03,17:00,,1008,71.4,4,9,,,,,,,,9,,,,,,36,10.5,1.7,218
2019-03-03,18:00,,1008,73.4,4,11,,,,,,,,9,,,,,,10,10.2,1.4,211
2019-03-03,19:00,,1007,74.5,4,12,,,,,,,,7,,,,,,0,9.9,1.4,205
2019-03-03,20:00,,1007,73.4,5,11,,,,,,,,8,,,,,,0,10.0,1.2,195
2019-03-03,21:00,,1006,73.5,3,9,,,,,,,,7,,,,,,0,10.0,1.1,210
2019-03-03,22:00,,1006,73.4,2,8,,,,,,,,7,,,,,,0,10.0,1.0,207
2019-03-03,23:00,,1005,73.1,4,8,,,,,,,,7,,,,,,0,9.9,1.5,216
2019-03-04,,,,,,,,,,,8.84,,,,,,NaN,,,,,,
2019-03-04,00:00,,1004,72.5,1,5,,,,,,,,7,,,,,,0,9.8,1.5,214
2019-03-04,01:00,,1004,72.4,1,7,,,,,,,,7,,,,,,0,9.9,1.2,201
2019-03-04,02:00,,1003,72.3,2,6,,,,,,,,7,,,,,,0,9.8,1.5,195
2019-03-04,03:00,,1003,73.5,2,6,,,,,,,,6,,,,,,0,9.2,1.4,193
2019-03-04,04:00,,1002,72.6,3,8,,,,,,,,8,,,,,,0,9.3,1.2,185
2019-03-04,05:00,,1001,70.4,8,15,,,,,,,,8,,,,,,0,9.6,1.3,182
2019-03-04,06:00,,0,0.0,0,0,,,,,,,,NaN,,,,,,0,0.0,0.0,0
2019-03-04,07:00,,1000,64.6,32,33,,,,,,,,14,,,,,,0,10.6,1.5,188
2019-03-04,08:00,,999,63.5,37,43,,,,,,,,18,,,,,,31,11.0,1.0,179
2019-03-04,09:00,,997,61.2,33,38,,,,,,,,18,,,,,,101,11.9,1.2,170
2019-03-04,10:00,,996,55.9,24,25,,,,,,,,17,,,,,,203,13.6,1.6,175
2019-03-04,11:00,,995,47.9,9,15,,,,,,,,14,,,,,,172,14.2,2.2,208
2019-03-04,12:00,,995,50.3,6,11,,,,,,,,11,,,,,,141,13.0,3.3,210
2019-03-04,13:00,,995,49.7,5,8,,,,,,,,7,,,,,,209,13.2,3.4,215
2019-03-04,14:00,,995,51.4,8,11,,,,,,,,6,,,,,,131,12.7,2.2,218
2019-03-04,15:00,,995,50.3,4,8,,,,,,,,9,,,,,,124,12.0,2.5,220
2019-03-04,16:00,,995,53.1,7,12,,,,,,,,9,,,,,,69,11.0,2.7,216
2019-03-04,17:00,,994,55.5,9,14,,,,,,,,9,,,,,,65,10.6,2.2,220
2019-03-04,18:00,,995,69.2,9,17,,,,,,,,10,,,,,,7,8.7,1.8,211
2019-03-04,19:00,,995,75.9,6,11,,,,,,,,6,,,,,,0,7.7,1.7,216
2019-03-04,20:00,,997,88.5,6,12,,,,,,,,3,,,,,,0,5.2,2.0,270
2019-03-04,21:00,,998,91.1,9,17,,,,,,,,3,,,,,,0,3.5,0.9,196
2019-03-04,22:00,,1000,91.1,5,14,,,,,,,,6,,,,,,0,3.0,0.9,195
2019-03-04,23:00,,1000,85.3,3,9,,,,,,,,5,,,,,,0,4.0,1.5,214
2019-03-05,,,,,,,,,,,NaN,,,,,,NaN,,,,,,
2019-03-05,00:00,,1000,81.4,1,5,,,,,,,,5,,,,,,0,4.3,2.0,215
2019-03-05,01:00,,1001,78.8,1,4,,,,,,,,5,,,,,,0,4.4,1.5,213
2019-03-05,02:00,,1001,77.7,1,5,,,,,,,,6,,,,,,0,4.8,1.0,198
2019-03-05,03:00,,1001,82.5,1,5,,,,,,,,9,,,,,,0,4.9,1.6,207
2019-03-05,04:00,,1001,81.3,1,4,,,,,,,,6,,,,,,0,4.7,2.0,217
2019-03-05,05:00,,1001,77.7,2,5,,,,,,,,4,,,,,,0,4.6,1.8,217
2019-03-05,06:00,,1002,77.3,6,9,,,,,,,,4,,,,,,0,4.3,1.8,220
2019-03-05,07:00,,1002,77.1,10,13,,,,,,,,3,,,,,,0,4.5,1.9,219
2019-03-05,08:00,,1002,75.4,13,15,,,,,,,,6,,,,,,20,5.0,1.9,223
2019-03-05,09:00,,1003,70.0,13,14,,,,,,,,9,,,,,,169,6.4,1.9,226
2019-03-05,10:00,,1003,66.6,9,12,,,,,,,,8,,,,,,167,7.1,1.9,223
2019-03-05,11:00,,1004,64.8,11,13,,,,,,,,7,,,,,,168,7.1,1.8,223
2019-03-05,12:00,,1004,63.4,9,12,,,,,,,,9,,,,,,191,7.7,1.7,236
2019-03-05,13:00,,1004,78.0,10,12,,,,,,,,6,,,,,,140,6.3,1.6,234
2019-03-05,14:00,,1005,80.9,10,14,,,,,,,,4,,,,,,105,6.2,1.6,214
2019-03-05,15:00,,1005,83.8,15,19,,,,,,,,4,,,,,,106,5.9,1.3,214
2019-03-05,16:00,,1005,87.1,16,21,,,,,,,,3,,,,,,52,5.4,0.9,231
2019-03-05,17:00,,1005,87.9,20,29,,,,,,,,5,,,,,,49,5.6,0.7,264
2019-03-05,18:00,,1006,86.8,24,36,,,,,,,,5,,,,,,13,5.5,0.6,204
2019-03-05,19:00,,1007,88.2,61,53,,,,,,,,5,,,,,,0,4.8,0.3,192
2019-03-05,20:00,,1008,92.9,51,43,,,,,,,,8,,,,,,0,2.8,0.7,187
2019-03-05,21:00,,1009,94.9,20,29,,,,,,,,6,,,,,,0,2.6,0.8,188
2019-03-05,22:00,,1009,92.2,7,21,,,,,,,,4,,,,,,0,3.4,0.6,187
2019-03-05,23:00,,1010,92.8,17,29,,,,,,,,6,,,,,,0,2.6,0.4,197
2019-03-06,,,,,,,,,,,NaN,,,,,,NaN,,,,,,
2019-03-06,00:00,,1010,94.3,15,19,,,,,,,,7,,,,,,0,1.1,0.3,195
2019-03-06,01:00,,1011,97.0,9,15,,,,,,,,7,,,,,,0,NaN,0.5,192
2019-03-06,02:00,,1011,97.7,6,12,,,,,,,,7,,,,,,0,NaN,0.6,183
2019-03-06,03:00,,1011,97.9,13,13,,,,,,,,7,,,,,,0,NaN,0.4,195
2019-03-06,04:00,,1011,97.9,17,15,,,,,,,,7,,,,,,0,NaN,0.2,196
2019-03-06,05:00,,1011,97.6,51,24,,,,,,,,8,,,,,,0,NaN,0.2,64
2019-03-06,06:00,,1011,97.1,144,41,,,,,,,,12,,,,,,0,NaN,0.3,235
2019-03-06,07:00,,1011,96.1,29,30,,,,,,,,12,,,,,,0,1.3,0.8,191
2019-03-06,08:00,,1011,91.4,21,26,,,,,,,,20,,,,,,42,2.6,0.9,206
2019-03-06,09:00,,1010,85.2,32,27,,,,,,,,33,,,,,,133,4.8,1.7,174
2019-03-06,10:00,,1010,81.2,24,21,,,,,,,,8,,,,,,207,6.3,1.8,175
2019-03-06,11:00,,1010,76.8,21,19,,,,,,,,12,,,,,,275,7.8,1.8,173
2019-03-06,12:00,,1009,76.2,21,19,,,,,,,,20,,,,,,237,8.2,2.3,164
2019-03-06,13:00,,1008,72.4,11,13,,,,,,,,15,,,,,,318,9.7,2.6,168
2019-03-06,14:00,,1007,68.5,23,20,,,,,,,,13,,,,,,267,10.9,2.4,167
2019-03-06,15:00,,1006,66.3,19,20,,,,,,,,14,,,,,,198,11.7,2.2,168
2019-03-06,16:00,,1005,59.3,19,23,,,,,,,,13,,,,,,106,12.7,1.7,177
2019-03-06,17:00,,1004,64.4,22,28,,,,,,,,9,,,,,,41,11.6,1.7,176
2019-03-06,18:00,,1004,67.6,14,19,,,,,,,,12,,,,,,8,10.9,1.8,180
2019-03-06,19:00,,1003,66.6,10,18,,,,,,,,10,,,,,,0,10.6,1.5,179
2019-03-06,20:00,,1002,68.5,7,13,,,,,,,,8,,,,,,0,10.1,1.9,176
2019-03-06,21:00,,1002,70.9,3,9,,,,,,,,9,,,,,,0,9.6,1.2,198
2019-03-06,22:00,,1001,71.6,3,9,,,,,,,,9,,,,,,0,9.4,1.6,185
2019-03-06,23:00,,1001,72.8,6,12,,,,,,,,9,,,,,,0,8.8,1.0,196
2019-03-07,,,,,,,,,,,NaN,,,,,,NaN,,,,,,
2019-03-07,00:00,,1001,73.4,2,8,,,,,,,,8,,,,,,0,8.5,1.2,184
2019-03-07,01:00,,1000,71.1,1,6,,,,,,,,8,,,,,,0,8.6,2.1,183
2019-03-07,02:00,,1000,69.2,2,7,,,,,,,,10,,,,,,0,8.6,2.0,180
2019-03-07,03:00,,1000,67.4,1,7,,,,,,,,9,,,,,,0,8.8,2.2,172
2019-03-07,04:00,,999,66.4,2,9,,,,,,,,10,,,,,,0,8.6,2.3,175
2019-03-07,05:00,,998,64.5,4,15,,,,,,,,10,,,,,,0,8.9,1.4,186
2019-03-07,06:00,,998,68.4,11,22,,,,,,,,13,,,,,,0,7.9,1.2,192
2019-03-07,07:00,,997,66.6,22,33,,,,,,,,15,,,,,,2,8.0,1.3,186
2019-03-07,08:00,,996,67.2,27,34,,,,,,,,17,,,,,,30,8.0,1.6,185
2019-03-07,09:00,,997,60.8,23,27,,,,,,,,16,,,,,,142,10.0,1.8,182
2019-03-07,10:00,,997,53.8,22,26,,,,,,,,18,,,,,,129,12.6,1.7,188
2019-03-07,11:00,,997,54.5,12,19,,,,,,,,14,,,,,,201,13.9,2.0,209
2019-03-07,12:00,,998,58.2,5,10,,,,,,,,10,,,,,,217,13.2,2.4,215
2019-03-07,13:00,,999,57.8,5,10,,,,,,,,6,,,,,,143,13.0,2.2,218
2019-03-07,14:00,,999,58.8,9,15,,,,,,,,5,,,,,,89,12.7,1.7,212
2019-03-07,15:00,,999,58.5,9,16,,,,,,,,6,,,,,,169,13.0,1.7,212
2019-03-07,16:00,,999,56.4,10,16,,,,,,,,8,,,,,,127,13.0,2.2,217
2019-03-07,17:00,,1000,73.5,9,15,,,,,,,,9,,,,,,56,9.1,1.9,224
2019-03-07,18:00,,1000,71.6,17,26,,,,,,,,4,,,,,,19,9.1,1.2,201
2019-03-07,19:00,,1001,75.9,19,33,,,,,,,,9,,,,,,0,8.0,1.0,191
2019-03-07,20:00,,1002,77.4,8,19,,,,,,,,9,,,,,,0,7.6,1.1,183
2019-03-07,21:00,,1002,78.0,6,14,,,,,,,,6,,,,,,0,7.1,1.2,185
2019-03-07,22:00,,1003,75.1,3,10,,,,,,,,4,,,,,,0,7.3,1.2,193
