Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-12-01,01:00,,3,40,,,
2016-12-01,02:00,,2,38,,,
2016-12-01,03:00,,2,39,,,
2016-12-01,04:00,,7,41,,,
2016-12-01,05:00,,14,43,,,
2016-12-01,06:00,,10,41,,,
2016-12-01,07:00,,29,46,,,
2016-12-01,08:00,,54,47,,,
2016-12-01,09:00,,28,39,,,
2016-12-01,10:00,,26,34,,,
2016-12-01,11:00,,28,30,,,
2016-12-01,12:00,,29,30,,,
2016-12-01,13:00,,23,29,,,
2016-12-01,14:00,,38,36,,,
2016-12-01,15:00,,53,39,,,
2016-12-01,16:00,,40,38,,,
2016-12-01,17:00,,32,37,,,
2016-12-01,18:00,,24,35,,,
2016-12-01,19:00,,23,35,,,
2016-12-01,20:00,,16,31,,,
2016-12-01,21:00,,8,28,,,
2016-12-01,22:00,,6,26,,,
2016-12-01,23:00,,5,25,,,
2016-12-02,00:00,,3,22,,,
2016-12-02,01:00,,3,21,,,
2016-12-02,02:00,,1,19,,,
2016-12-02,03:00,,2,18,,,
2016-12-02,04:00,,5,18,,,
2016-12-02,05:00,,1,8,,,
2016-12-02,06:00,,1,9,,,
2016-12-02,07:00,,3,10,,,
2016-12-02,08:00,,7,13,,,
2016-12-02,09:00,,16,18,,,
2016-12-02,10:00,,9,20,,,
2016-12-02,11:00,,13,19,,,
2016-12-02,12:00,,15,17,,,
2016-12-02,13:00,,17,16,,,
2016-12-02,14:00,,21,21,,,
2016-12-02,15:00,,21,27,,,
2016-12-02,16:00,,20,32,,,
2016-12-02,17:00,,94,60,,,
2016-12-02,18:00,,164,65,,,
2016-12-02,19:00,,107,48,,,
2016-12-02,20:00,,87,38,,,
2016-12-02,21:00,,81,33,,,
2016-12-02,22:00,,67,30,,,
2016-12-02,23:00,,55,29,,,
2016-12-03,00:00,,38,25,,,
2016-12-03,01:00,,38,23,,,
2016-12-03,02:00,,27,19,,,
2016-12-03,03:00,,23,17,,,
2016-12-03,04:00,,26,15,,,
2016-12-03,05:00,,28,14,,,
2016-12-03,06:00,,34,14,,,
2016-12-03,07:00,,39,18,,,
2016-12-03,08:00,,53,17,,,
2016-12-03,09:00,,92,21,,,
2016-12-03,10:00,,115,29,,,
2016-12-03,11:00,,76,26,,,
