Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2016-12-01,01:00,0.9,8,46,,,1.9
2016-12-01,02:00,1.0,7,47,,,1.5
2016-12-01,03:00,0.8,6,44,,,1.2
2016-12-01,04:00,0.7,5,40,,,1.0
2016-12-01,05:00,0.7,13,43,,,1.7
2016-12-01,06:00,1.0,17,48,,,5.8
2016-12-01,07:00,0.8,40,51,,,6.5
2016-12-01,08:00,1.2,55,54,,,5.0
2016-12-01,09:00,1.2,60,54,,,6.9
2016-12-01,10:00,1.2,61,53,,,5.3
2016-12-01,11:00,1.1,61,50,,,7.0
2016-12-01,12:00,1.3,57,46,,,6.8
2016-12-01,13:00,1.1,52,44,,,5.9
2016-12-01,14:00,1.4,60,48,,,7.0
2016-12-01,15:00,1.3,63,52,,,3.4
2016-12-01,16:00,1.4,60,51,,,6.4
2016-12-01,17:00,1.3,51,53,,,5.3
2016-12-01,18:00,1.4,55,51,,,6.7
2016-12-01,19:00,1.3,56,49,,,7.1
2016-12-01,20:00,1.3,34,41,,,4.6
2016-12-01,21:00,1.1,35,40,,,5.4
2016-12-01,22:00,1.1,26,36,,,4.3
2016-12-01,23:00,1.0,18,31,,,2.3
2016-12-02,00:00,0.9,13,27,,,1.5
2016-12-02,01:00,0.7,14,20,,,1.7
2016-12-02,02:00,0.6,7,16,,,1.6
2016-12-02,03:00,0.4,8,13,,,1.7
2016-12-02,04:00,0.2,6,8,,,1.7
2016-12-02,05:00,0.2,10,10,,,1.5
2016-12-02,06:00,0.2,12,16,,,1.5
2016-12-02,07:00,0.3,30,27,,,1.5
2016-12-02,08:00,0.9,74,57,,,1.5
2016-12-02,09:00,1.0,64,51,,,1.4
2016-12-02,10:00,0.7,62,48,,,1.5
2016-12-02,11:00,0.7,88,56,,,1.6
2016-12-02,12:00,0.9,75,49,,,1.6
2016-12-02,13:00,0.9,92,55,,,1.7
2016-12-02,14:00,1.1,82,48,,,1.9
2016-12-02,15:00,1.3,87,55,,,1.8
2016-12-02,16:00,1.2,88,62,,,1.6
2016-12-02,17:00,1.9,176,100,,,2.0
