Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,01:00,,1021,62.9,1,16,42,,16,,,0,14.5,0.5,250
2018-09-01,02:00,,1021,65.0,1,17,37,,15,,,0,14.2,0.4,227
2018-09-01,03:00,,1021,66.0,1,17,36,,16,,,0,13.9,0.6,245
2018-09-01,04:00,,1021,68.5,2,17,33,,16,,,0,13.5,0.5,239
2018-09-01,05:00,,1021,67.9,2,19,38,,17,,,0,13.3,0.3,260
2018-09-01,06:00,,1021,69.1,2,20,36,,19,,,5,13.2,0.5,258
2018-09-01,07:00,,1022,71.4,2,17,40,,18,,,14,12.9,0.6,259
2018-09-01,08:00,,1022,74.3,4,18,37,,18,,,31,12.7,0.5,262
2018-09-01,09:00,,1023,79.1,4,22,33,,18,,,37,12.4,0.3,272
2018-09-01,10:00,,1023,79.7,6,27,29,,19,,,58,12.7,0.4,304
2018-09-01,11:00,,1023,79.8,7,21,35,,20,,,87,13.2,0.4,342
2018-09-01,12:00,,1023,79.4,4,18,37,,18,,,100,13.9,0.5,345
2018-09-01,13:00,,1023,76.7,4,17,39,,21,,,83,14.4,0.8,2
2018-09-01,14:00,,1023,78.2,35,36,34,,22,,,56,14.9,0.7,27
2018-09-01,15:00,,1023,83.5,6,30,45,,19,,,57,14.7,0.7,27
2018-09-01,16:00,,1023,85.2,4,27,50,,17,,,51,14.4,0.9,31
2018-09-01,17:00,,1024,85.9,3,27,49,,15,,,25,14.0,1.0,33
2018-09-01,18:00,,1024,90.0,3,19,49,,15,,,15,13.7,0.7,356
2018-09-01,19:00,,1024,93.9,2,14,51,,14,,,1,13.0,1.0,53
2018-09-01,20:00,,1024,96.1,1,17,60,,12,,,0,12.2,1.0,41
2018-09-01,21:00,,1024,96.5,1,10,62,,10,,,0,12.1,1.0,42
2018-09-01,22:00,,1024,97.2,1,7,64,,9,,,0,12.1,1.1,41
2018-09-01,23:00,,1024,97.3,1,6,64,,9,,,0,12.2,1.0,41
2018-09-02,00:00,,1024,97.3,1,7,59,,12,,,0,12.4,1.0,44
2018-09-02,01:00,,1024,97.6,1,6,57,,12,,,0,12.3,0.8,32
2018-09-02,02:00,,1023,97.5,1,5,54,,12,,,0,12.4,0.9,35
2018-09-02,03:00,,1023,97.6,1,4,56,,14,,,0,12.3,1.1,41
2018-09-02,04:00,,1023,97.7,1,5,57,,13,,,0,12.2,1.4,38
2018-09-02,05:00,,1023,97.4,1,10,56,,13,,,0,12.1,1.7,40
2018-09-02,06:00,,1022,97.4,1,6,59,,12,,,0,12.2,1.6,41
2018-09-02,07:00,,1022,97.5,1,12,51,,11,,,6,12.4,1.1,38
