Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,01:00,,1022,76.3,1,5,,,10,,0.5,0,11.7,0.7,
2018-09-01,02:00,,1022,77.1,1,5,,,10,,0.5,0,11.3,0.4,
2018-09-01,03:00,,1022,72.7,1,5,,,10,,1.2,0,11.2,0.7,
2018-09-01,04:00,,1021,77.8,1,5,,,12,,0.5,0,10.1,0.3,
2018-09-01,05:00,,1022,75.4,2,6,,,9,,0.5,0,9.9,0.7,
2018-09-01,06:00,0.2,1022,68.2,1,8,,,9,,1.3,5,11.0,1.5,
2018-09-01,07:00,0.3,1022,69.1,2,11,,,12,,1.9,46,11.1,1.8,
2018-09-01,08:00,0.4,1022,68.0,3,11,,,13,,1.6,121,11.7,1.4,
2018-09-01,09:00,0.4,1023,64.7,3,9,,,13,,1.2,205,12.7,1.5,
2018-09-01,10:00,0.4,1023,60.4,3,8,,,11,,1.0,290,13.8,1.4,
2018-09-01,11:00,0.3,1023,59.8,4,11,,,11,,1.3,177,14.0,1.8,
2018-09-01,12:00,0.4,1023,63.6,3,12,,,11,,1.3,70,12.9,1.7,
2018-09-01,13:00,0.4,1024,69.3,3,14,,,12,,1.3,60,12.5,1.5,
2018-09-01,14:00,0.4,1024,69.6,3,12,,,14,,1.1,77,12.7,1.6,
2018-09-01,15:00,0.4,1024,71.9,2,10,,,16,,1.0,113,13.0,1.5,
2018-09-01,16:00,0.3,1023,69.2,2,9,,,16,,1.0,205,13.8,1.8,
2018-09-01,17:00,0.3,1023,66.7,2,10,,,16,,1.1,91,13.7,1.8,
2018-09-01,18:00,0.4,1024,68.4,2,9,,,16,,1.4,37,13.1,1.7,
2018-09-01,19:00,0.4,1024,76.4,2,10,,,17,,1.9,7,12.6,1.2,
2018-09-01,20:00,0.4,1024,79.8,2,7,,,15,,1.5,0,12.5,1.2,
2018-09-01,21:00,0.4,1024,77.6,1,4,,,11,,1.4,0,12.7,2.4,
2018-09-01,22:00,0.3,1023,79.6,1,4,,,10,,1.2,0,12.5,1.8,
2018-09-01,23:00,0.3,1023,83.0,1,4,,,9,,0.5,0,12.3,1.2,
2018-09-02,00:00,0.2,1023,84.9,1,3,,,5,,1.1,0,12.5,1.7,
2018-09-02,01:00,0.2,1023,86.9,1,4,,,3,,1.3,0,12.4,1.2,
2018-09-02,02:00,0.3,1023,88.0,1,4,,,3,,1.5,0,12.3,1.3,
2018-09-02,03:00,0.3,1023,89.6,1,4,,,3,,1.3,0,12.2,1.3,
2018-09-02,04:00,0.3,1022,88.7,1,3,,,2,,0.5,0,12.3,1.3,
2018-09-02,05:00,0.2,1022,89.5,1,4,,,1,,0.5,0,12.1,1.1,
2018-09-02,06:00,0.2,1022,90.9,1,5,,,2,,0.5,1,11.9,1.0,
2018-09-02,07:00,0.3,1022,91.8,1,5,,,2,,0.5,11,11.5,1.0,
