Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,,,,,,,,20.08,,,,,,,
2018-09-01,01:00,,1022,65.1,18,39,,,22,,,,14.2,0.4,267
2018-09-01,02:00,,1022,66.9,7,29,,,22,,,,13.7,0.6,267
2018-09-01,03:00,,1023,69.7,7,31,,,21,,,,13.2,0.5,270
2018-09-01,04:00,,1023,72.4,15,30,,,17,,,,12.5,0.6,262
2018-09-01,05:00,,1023,74.8,13,30,,,16,,,,11.8,0.6,265
2018-09-01,06:00,,1023,75.3,26,35,,,20,,,,11.7,0.5,253
2018-09-01,07:00,,1024,76.2,28,33,,,21,,,,11.7,0.6,260
2018-09-01,08:00,,1024,75.7,25,30,,,31,,,,13.0,0.8,265
2018-09-01,09:00,,1024,66.3,30,31,,,31,,,,16.5,0.8,262
2018-09-01,10:00,,1024,57.5,37,37,,,34,,,,19.8,0.8,249
2018-09-01,11:00,,1024,46.6,29,36,,,7,,,,21.9,0.8,221
2018-09-01,12:00,,1024,42.5,23,34,,,15,,,,22.1,0.9,254
2018-09-01,13:00,,1024,40.9,29,38,,,8,,,,21.4,0.9,251
2018-09-01,14:00,,1024,38.1,29,44,,,16,,,,22.4,0.9,195
2018-09-01,15:00,,1024,38.2,24,45,,,24,,,,22.8,1.0,121
2018-09-01,16:00,,1024,38.7,22,38,,,17,,,,22.2,1.3,113
2018-09-01,17:00,,1024,40.7,38,58,,,29,,,,21.6,1.1,116
2018-09-01,18:00,,1024,42.7,36,60,,,33,,,,21.2,1.0,116
2018-09-01,19:00,,1024,46.2,27,48,,,31,,,,20.3,1.0,116
2018-09-01,20:00,,1024,48.5,25,49,,,29,,,,19.5,0.9,117
2018-09-01,21:00,,1025,51.9,22,48,,,32,,,,19.0,0.8,118
2018-09-01,22:00,,1025,55.8,29,52,,,34,,,,18.6,0.7,120
