Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_TEOM,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-04,09:00,,1014,84.9,,,75,18,,385,15.1,2.9,73
2018-09-04,10:00,,1014,77.4,,,93,18,,436,16.5,3.2,63
2018-09-04,11:00,,1013,73.3,,,106,18,,730,17.6,3.8,78
2018-09-04,12:00,,1013,69.5,,,112,19,,672,18.0,4.6,77
2018-09-04,13:00,,1013,65.3,,,114,18,,461,18.5,2.9,65
2018-09-04,14:00,,1013,62.0,,,116,18,,702,19.4,2.5,55
2018-09-04,15:00,,1013,62.7,,,119,15,,441,19.5,1.9,34
2018-09-04,16:00,,1013,68.3,,,124,19,,270,18.9,2.1,47
2018-09-04,17:00,,1014,70.2,,,125,22,,185,18.1,2.0,49
2018-09-04,18:00,,1014,67.9,,,127,20,,97,17.8,1.6,28
2018-09-04,19:00,,1015,75.0,,,99,17,,8,16.0,1.0,357
2018-09-04,20:00,,1016,85.1,,,87,16,,0,14.0,0.7,21
2018-09-04,21:00,,1017,91.0,,,75,18,,0,13.1,0.8,29
2018-09-04,22:00,,1017,93.3,,,61,18,,0,12.1,0.5,18
2018-09-04,23:00,,1018,94.8,,,45,19,,0,11.3,0.3,203
2018-09-05,00:00,,1018,95.9,,,35,18,,0,10.8,0.7,200
2018-09-05,01:00,,1018,95.6,,,29,17,,0,10.5,0.7,212
2018-09-05,02:00,,1019,96.9,,,39,16,,0,10.0,0.7,205
2018-09-05,03:00,,1019,96.8,,,40,15,,0,9.6,0.8,199
2018-09-05,04:00,,1019,97.2,,,42,14,,0,9.3,0.8,205
