Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,,,,,,,,14.34,,,,,,,
2018-09-01,01:00,,1022,87.0,1,30,16,,,,,0,10.8,0.6,81
2018-09-01,02:00,,1022,89.3,1,24,18,,,,,0,9.9,0.6,84
2018-09-01,03:00,,1022,89.8,1,17,20,,,,,0,9.5,0.4,85
2018-09-01,04:00,,1022,90.5,1,14,19,,,,,0,9.1,0.4,85
2018-09-01,05:00,,1022,91.0,1,18,10,,,,,0,9.2,0.4,83
2018-09-01,06:00,,1023,92.4,1,20,5,,,,,6,9.0,0.4,82
2018-09-01,07:00,,1023,87.3,4,18,10,,,,,87,10.6,0.3,282
2018-09-01,08:00,,1023,72.6,9,30,20,,,,,139,13.0,0.4,279
2018-09-01,09:00,,1023,73.2,8,25,25,,,,,168,13.0,0.8,293
2018-09-01,10:00,,1024,71.9,5,19,31,,,,,203,14.2,0.9,305
2018-09-01,11:00,,1024,69.1,4,16,39,,,,,245,15.5,0.9,306
2018-09-01,12:00,,1024,64.8,1,15,48,,,,,109,16.1,1.1,352
2018-09-01,13:00,,1024,58.8,1,10,68,,,,,110,16.7,0.9,19
2018-09-01,14:00,,1024,57.5,1,8,66,,,,,84,16.8,0.6,42
2018-09-01,15:00,,1024,56.9,1,8,65,,,,,135,17.2,0.5,76
2018-09-01,16:00,,1024,60.8,1,11,65,,,,,91,16.8,0.6,90
2018-09-01,17:00,,1024,67.3,1,13,63,,,,,48,16.0,0.5,100
2018-09-01,18:00,,1024,71.4,1,9,69,,,,,21,15.6,0.6,75
2018-09-01,19:00,,1024,73.4,1,9,70,,,,,7,15.3,0.7,60
2018-09-01,20:00,,1025,76.5,1,9,72,,,,,0,14.9,0.7,60
2018-09-01,21:00,,1025,78.0,1,7,76,,,,,0,14.3,1.0,70
2018-09-01,22:00,,1024,81.5,1,5,88,,,,,0,13.9,1.1,63
2018-09-01,23:00,,1024,84.4,1,4,85,,,,,0,14.0,0.9,65
2018-09-02,,,,,,,,14.02,,,,,,,
2018-09-02,00:00,,1024,87.3,1,6,77,,,,,0,14.0,0.6,46
2018-09-02,01:00,,1024,90.6,1,7,70,,,,,0,13.7,0.9,49
2018-09-02,02:00,,1024,91.4,1,6,74,,,,,0,13.3,1.0,8
2018-09-02,03:00,,1024,94.4,1,6,66,,,,,0,13.0,0.8,15
2018-09-02,04:00,,1023,94.7,1,6,62,,,,,0,12.7,0.9,20
2018-09-02,05:00,,1023,94.5,1,6,58,,,,,0,12.6,1.0,17
2018-09-02,06:00,,1023,93.0,1,8,52,,,,,1,12.9,0.8,14
2018-09-02,07:00,,1023,93.8,1,8,49,,,,,4,12.9,0.8,10
2018-09-02,08:00,,1023,93.8,1,7,51,,,,,16,13.1,0.9,20
2018-09-02,09:00,,1023,93.8,1,9,48,,,,,20,13.5,0.8,30
2018-09-02,10:00,,1023,93.7,1,11,44,,,,,33,13.7,0.5,22
2018-09-02,11:00,,1023,94.4,1,12,44,,,,,51,13.8,0.8,26
2018-09-02,12:00,,1023,93.8,1,8,54,,,,,67,14.3,0.8,48
2018-09-02,13:00,,1022,92.3,1,7,53,,,,,65,14.9,0.5,44
2018-09-02,14:00,,1022,90.7,1,8,51,,,,,69,15.4,0.6,33
2018-09-02,15:00,,1022,91.1,1,9,50,,,,,59,15.4,0.6,355
2018-09-02,16:00,,1022,91.0,1,9,48,,,,,45,15.7,0.5,54
2018-09-02,17:00,,1022,91.0,1,10,46,,,,,37,15.9,0.3,44
2018-09-02,18:00,,1021,90.4,1,12,43,,,,,16,16.1,0.4,348
2018-09-02,19:00,,1021,90.1,1,11,42,,,,,5,16.2,0.3,354
2018-09-02,20:00,,1021,91.3,1,13,26,,,,,0,15.7,0.2,30
2018-09-02,21:00,,1021,91.8,1,14,10,,,,,0,15.4,0.0,35
2018-09-02,22:00,,1020,91.1,1,15,7,,,,,0,15.7,0.0,354
2018-09-02,23:00,,1020,90.9,2,21,8,,,,,0,16.0,0.1,357
2018-09-03,00:00,,1019,91.7,1,23,6,,,,,0,15.9,0.1,271
2018-09-03,01:00,,1019,91.7,1,24,8,,,,,0,16.0,0.1,316
2018-09-03,02:00,,1018,91.3,1,24,5,,,,,0,16.1,0.1,316
2018-09-03,03:00,,1018,92.4,3,17,3,,,,,0,15.8,0.2,60
2018-09-03,04:00,,1018,92.5,2,16,3,,,,,0,15.8,0.1,67
2018-09-03,05:00,,1017,92.6,4,16,3,,,,,0,15.8,0.1,35
2018-09-03,06:00,,1017,92.4,1,17,22,,,,,3,16.1,0.2,25
2018-09-03,07:00,,1017,93.2,1,15,25,,,,,12,16.1,0.2,62
