Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,,,,,,,,17.86,,9.62,,,,,
2018-09-01,01:00,,1023,84.5,11,53,,,16,,,,12.1,0.4,
2018-09-01,02:00,,1023,88.0,19,49,,,22,,,,11.7,0.3,
2018-09-01,03:00,,1023,91.2,16,39,,,20,,,,11.2,0.4,
2018-09-01,04:00,,1023,91.8,18,33,,,23,,,,10.8,0.3,
2018-09-01,05:00,,1023,91.7,19,36,,,18,,,,10.5,0.3,
2018-09-01,06:00,,1023,89.7,33,40,,,15,,,,10.1,0.3,
2018-09-01,07:00,,1023,83.1,20,33,,,18,,,,11.0,0.5,
2018-09-01,08:00,,1024,76.3,16,32,,,14,,,,12.0,0.9,
2018-09-01,09:00,,1024,76.0,11,23,,,11,,,,12.5,0.9,
2018-09-01,10:00,,1024,75.9,19,27,,,19,,,,13.3,0.9,
2018-09-01,11:00,,1025,73.8,9,18,,,14,,,,14.3,1.1,
2018-09-01,12:00,,1024,71.1,9,20,,,17,,,,15.1,1.0,
2018-09-01,13:00,,1024,68.2,4,17,,,15,,,,15.6,1.1,
2018-09-01,14:00,,1025,60.2,4,16,,,20,,,,15.9,1.0,
2018-09-01,15:00,,1025,59.5,2,13,,,16,,,,16.1,1.3,
2018-09-01,16:00,,1025,62.5,4,15,,,19,,,,15.9,1.2,
2018-09-01,17:00,,1025,68.8,3,18,,,21,,,,15.3,1.2,
2018-09-01,18:00,,1025,74.3,2,13,,,24,,,,14.9,1.1,
2018-09-01,19:00,,1025,76.9,1,10,,,16,,,,14.6,1.7,
2018-09-01,20:00,,1025,80.3,1,10,,,13,,,,14.3,1.4,
2018-09-01,21:00,,1025,82.1,1,8,,,12,,,,13.8,1.7,
2018-09-01,22:00,,1025,84.9,1,5,,,13,,,,13.4,2.5,
2018-09-01,23:00,,1025,87.4,1,6,,,11,,,,13.5,1.4,
2018-09-02,,,,,,,,15.68,,13.67,,,,,
2018-09-02,00:00,,1025,91.7,1,5,,,10,,,,13.4,1.8,
2018-09-02,01:00,,1025,95.2,1,7,,,10,,,,13.1,1.7,
2018-09-02,02:00,,1024,96.0,1,5,,,6,,,,12.8,1.2,
2018-09-02,03:00,,1024,98.7,1,5,,,9,,,,12.6,1.1,
2018-09-02,04:00,,1024,98.6,1,6,,,9,,,,12.4,1.1,
2018-09-02,05:00,,1024,98.1,1,6,,,13,,,,12.3,1.1,
2018-09-02,06:00,,1024,97.1,2,10,,,10,,,,12.5,0.9,
2018-09-02,07:00,,1023,98.4,1,8,,,13,,,,12.3,0.9,
2018-09-02,08:00,,1023,99.1,1,10,,,8,,,,12.5,1.0,
2018-09-02,09:00,,1023,99.2,1,11,,,6,,,,12.7,1.1,
2018-09-02,10:00,,1023,99.0,3,17,,,6,,,,13.0,0.9,
2018-09-02,11:00,,1023,99.5,4,13,,,6,,,,13.1,1.0,
2018-09-02,12:00,,1023,99.5,2,10,,,11,,,,13.4,1.4,
2018-09-02,13:00,,1023,99.0,2,9,,,16,,,,13.7,1.3,
2018-09-02,14:00,,1023,97.9,2,9,,,19,,,,14.1,1.1,
2018-09-02,15:00,,1022,98.0,3,11,,,22,,,,14.3,1.0,
2018-09-02,16:00,,1022,98.1,3,12,,,23,,,,14.4,1.0,
2018-09-02,17:00,,1022,98.2,2,13,,,23,,,,14.6,0.8,
2018-09-02,18:00,,1022,97.6,4,18,,,22,,,,14.9,0.7,
