Datum,Zeit,BEN,DRUCK,FEUCHT,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2,STRAHL,TEMP,WINDGE,WINDRI
yyyy-mm-dd,hh:mm,µg/m³,hPa,PROZ,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,W/m2,GRADC,m/sec,GRAD
2018-09-01,01:00,,1022,80.4,1,29,,,18,,,0,13.5,0.1,54
2018-09-01,02:00,,1022,81.9,5,29,,,17,,,0,13.3,0.1,43
2018-09-01,03:00,,1022,85.3,7,25,,,16,,,0,12.2,0.2,349
2018-09-01,04:00,,1022,86.5,10,22,,,16,,,0,11.5,0.1,109
2018-09-01,05:00,,1022,86.6,12,22,,,16,,,0,11.1,0.2,57
2018-09-01,06:00,,1023,86.4,15,28,,,13,,,6,10.7,0.1,145
2018-09-01,07:00,,1023,82.1,18,27,,,12,,,79,11.5,0.4,311
2018-09-01,08:00,,1023,74.0,12,23,,,17,,,141,13.0,0.8,335
2018-09-01,09:00,,1024,69.7,8,16,,,18,,,292,14.5,1.3,341
2018-09-01,10:00,,1024,68.9,10,17,,,15,,,339,15.3,1.3,353
2018-09-01,11:00,,1024,67.4,,,,,16,,,283,16.3,1.2,20
2018-09-01,12:00,,1024,59.9,,,,,15,,,254,17.7,1.8,20
2018-09-01,13:00,,1024,57.7,,,,,11,,,129,17.7,1.9,12
2018-09-01,14:00,,1024,52.2,,,,,9,,,97,17.8,1.6,15
2018-09-01,15:00,,1024,53.4,,,,,13,,,142,18.0,1.8,65
2018-09-01,16:00,,1024,54.9,,,,,12,,,116,17.9,1.7,43
2018-09-01,17:00,,1024,53.5,,,,,9,,,47,17.8,1.1,65
2018-09-01,18:00,,1024,56.3,,,,,12,,,21,17.4,0.9,70
2018-09-01,19:00,,1024,63.8,,,,,11,,,5,16.8,0.9,65
2018-09-01,20:00,,1024,68.9,,,,,14,,,0,16.3,1.1,67
2018-09-01,21:00,,1025,71.5,,,,,9,,,0,15.9,0.9,67
2018-09-01,22:00,,1025,72.5,,,,,9,,,0,15.5,1.2,56
2018-09-01,23:00,,1025,74.1,,,,,11,,,0,15.3,1.1,49
2018-09-02,00:00,,1025,75.3,,,,,9,,,0,15.3,1.4,36
2018-09-02,01:00,,1025,77.1,,,,,9,,,0,15.3,2.0,24
2018-09-02,02:00,,1025,81.6,,,,,6,,,0,14.7,2.0,23
2018-09-02,03:00,,1025,88.4,,,,,5,,,0,13.9,2.2,14
2018-09-02,04:00,,1025,91.4,,,,,7,,,0,13.5,1.7,35
2018-09-02,05:00,,1025,88.1,,,,,9,,,0,13.9,1.3,30
2018-09-02,06:00,,1024,84.9,,,,,8,,,1,14.4,1.1,17
2018-09-02,07:00,,1024,87.2,,,,,9,,,9,14.1,1.2,5
2018-09-02,08:00,,1024,92.1,,,,,8,,,13,13.5,1.5,6
2018-09-02,09:00,,1024,91.9,,,,,2,,,21,13.8,1.3,13
2018-09-02,10:00,,1024,91.0,1,9,,,1,,,40,14.4,1.3,16
2018-09-02,11:00,,1024,92.9,1,9,,,0,,,47,14.3,1.5,17
2018-09-02,12:00,,1023,92.8,1,9,,,4,,,72,14.6,1.3,29
2018-09-02,13:00,,1023,91.5,2,11,,,7,,,73,15.1,1.2,28
2018-09-02,14:00,,1023,89.7,1,12,,,12,,,82,15.8,1.0,23
2018-09-02,15:00,,1023,88.1,1,12,,,15,,,82,16.1,1.1,36
2018-09-02,16:00,,1023,88.1,2,10,,,19,,,48,16.2,1.0,45
2018-09-02,17:00,,1022,88.8,2,12,,,19,,,40,16.2,1.0,25
2018-09-02,18:00,,1022,88.8,1,11,,,15,,,17,16.3,1.0,45
2018-09-02,19:00,,1022,88.7,1,14,,,17,,,4,16.4,0.7,42
2018-09-02,20:00,,1022,88.6,2,18,,,18,,,0,16.5,0.5,24
