Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-03-11,18.14
30-03-11,39.11
29-03-11,33.95
28-03-11,29.68
27-03-11,21.13
26-03-11,13.37
25-03-11,31.05
24-03-11,24.80
23-03-11,30.84
22-03-11,43.92
21-03-11,32.80
20-03-11,21.16
19-03-11,16.04
18-03-11,16.83
17-03-11,30.74
16-03-11,80.29
15-03-11,52.16
14-03-11,39.82
13-03-11,31.53
12-03-11,24.42
11-03-11,16.55
10-03-11,17.18
09-03-11,45.28
08-03-11,18.39
07-03-11,12.83
06-03-11,9.73
05-03-11,54.13
04-03-11,66.21
03-03-11,71.82
02-03-11,56.29
01-03-11,69.61

