Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-03-11,11.25
30-03-11,32.31
29-03-11,25.94
28-03-11,23.08
27-03-11,20.46
26-03-11,10.85
25-03-11,26.51
24-03-11,18.52
23-03-11,24.82
22-03-11,37.98
21-03-11,28.53
20-03-11,18.48
19-03-11,12.13
18-03-11,13.08
17-03-11,27.91
16-03-11,82.55
15-03-11,53.49
14-03-11,34.96
13-03-11,30.29
12-03-11,23.65
11-03-11,15.07
10-03-11,10.78
09-03-11,27.32
08-03-11,14.14
07-03-11,9.34
06-03-11,8.77
05-03-11,53.61
04-03-11,67.03
03-03-11,69.67
02-03-11,49.51
01-03-11,68.18

