Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
31-03-11,15
30-03-11,37
29-03-11,31
28-03-11,25
27-03-11,23
26-03-11,14
25-03-11,29
24-03-11,25
23-03-11,35
22-03-11,34
21-03-11,20
20-03-11,16
19-03-11,13
18-03-11,15
17-03-11,44
16-03-11,94
15-03-11,66
14-03-11,51
13-03-11,53
12-03-11,29
11-03-11,17
10-03-11,18
09-03-11,36
08-03-11,27
07-03-11,15
06-03-11,17
05-03-11,55
04-03-11,43
03-03-11,60
02-03-11,47
01-03-11,68

