Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-03-10,5.34
30-03-10,9.83
29-03-10,5.54
28-03-10,7.50
27-03-10,5.21
26-03-10,25.44
25-03-10,20.86
24-03-10,23.16
23-03-10,19.35
22-03-10,6.80
21-03-10,
20-03-10,11.57
19-03-10,20.11
18-03-10,26.44
17-03-10,19.30
16-03-10,8.36
15-03-10,7.86
14-03-10,8.81
13-03-10,14.34
12-03-10,27.64
11-03-10,52.48
10-03-10,41.21
09-03-10,31.30
08-03-10,15.93
07-03-10,21.24
06-03-10,16.78
05-03-10,7.81
04-03-10,13.61
03-03-10,11.85
02-03-10,10.82
01-03-10,4.82

