Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-03-10,10.83
30-03-10,15.23
29-03-10,7.48
28-03-10,8.21
27-03-10,8.06
26-03-10,40.89
25-03-10,25.49
24-03-10,34.65
23-03-10,27.52
22-03-10,15.05
21-03-10,7.19
20-03-10,15.44
19-03-10,33.71
18-03-10,37.39
17-03-10,22.92
16-03-10,8.80
15-03-10,7.00
14-03-10,8.39
13-03-10,13.06
12-03-10,31.33
11-03-10,54.38
10-03-10,36.59
09-03-10,30.32
08-03-10,25.61
07-03-10,22.86
06-03-10,16.54
05-03-10,11.35
04-03-10,19.53
03-03-10,18.75
02-03-10,20.27
01-03-10,10.50

