Datum Zeit,Dresden-Winckelmannstr. PM10
,µg/m³
31-03-10,9
30-03-10,19
29-03-10,7
28-03-10,9
27-03-10,7
26-03-10,29
25-03-10,27
24-03-10,35
23-03-10,27
22-03-10,12
21-03-10,9
20-03-10,16
19-03-10,28
18-03-10,41
17-03-10,24
16-03-10,12
15-03-10,11
14-03-10,10
13-03-10,19
12-03-10,38
11-03-10,64
10-03-10,50
09-03-10,39
08-03-10,19
07-03-10,24
06-03-10,22
05-03-10,11
04-03-10,20
03-03-10,17
02-03-10,16
01-03-10,6

