Datum Zeit,Collmberg PM2.5
,µg/m³
31-03-10,4.05
30-03-10,
29-03-10,3.42
28-03-10,6.42
27-03-10,6.62
26-03-10,17.15
25-03-10,21.94
24-03-10,26.66
23-03-10,17.48
22-03-10,5.48
21-03-10,6.27
20-03-10,12.23
19-03-10,19.57
18-03-10,24.41
17-03-10,19.85
16-03-10,5.76
15-03-10,3.98
14-03-10,6.85
13-03-10,10.63
12-03-10,22.96
11-03-10,51.08
10-03-10,35.41
09-03-10,28.04
08-03-10,10.92
07-03-10,14.86
06-03-10,12.90
05-03-10,5.45
04-03-10,8.13
03-03-10,8.46
02-03-10,8.01
01-03-10,3.92

