Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-03-10,9.41
30-03-10,11.19
29-03-10,10.29
28-03-10,8.86
27-03-10,7.46
26-03-10,22.66
25-03-10,25.03
24-03-10,24.18
23-03-10,21.40
22-03-10,12.88
21-03-10,6.94
20-03-10,13.69
19-03-10,26.14
18-03-10,30.88
17-03-10,21.86
16-03-10,8.21
15-03-10,9.27
14-03-10,8.36
13-03-10,13.59
12-03-10,27.02
11-03-10,53.77
10-03-10,45.90
09-03-10,37.22
08-03-10,18.67
07-03-10,19.53
06-03-10,17.49
05-03-10,10.90
04-03-10,16.20
03-03-10,12.99
02-03-10,17.59
01-03-10,10.91

