Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-03-10,4.74
30-03-10,8.94
29-03-10,5.95
28-03-10,6.93
27-03-10,7.62
26-03-10,17.66
25-03-10,23.39
24-03-10,26.07
23-03-10,19.20
22-03-10,8.60
21-03-10,8.67
20-03-10,12.14
19-03-10,21.41
18-03-10,26.36
17-03-10,21.51
16-03-10,7.14
15-03-10,7.85
14-03-10,
13-03-10,12.02
12-03-10,29.89
11-03-10,51.76
10-03-10,35.69
09-03-10,30.10
08-03-10,14.77
07-03-10,10.05
06-03-10,11.97
05-03-10,5.77
04-03-10,9.41
03-03-10,10.08
02-03-10,8.98
01-03-10,4.51

