Datum Zeit,Borna NO2
,µg/m³
01-10-09 00:00,19
30-09-09 23:00,22
30-09-09 22:00,26
30-09-09 21:00,32
30-09-09 20:00,39
30-09-09 19:00,51
30-09-09 18:00,53
30-09-09 17:00,43
30-09-09 16:00,30
30-09-09 15:00,37
30-09-09 14:00,35
30-09-09 13:00,26
30-09-09 12:00,36
30-09-09 11:00,42
30-09-09 10:00,40
30-09-09 09:00,37
30-09-09 08:00,32
30-09-09 07:00,42
30-09-09 06:00,31
30-09-09 05:00,12
30-09-09 04:00,4
30-09-09 03:00,5
30-09-09 02:00,4
30-09-09 01:00,4
30-09-09 00:00,4
29-09-09 23:00,10
29-09-09 22:00,13
29-09-09 21:00,9
29-09-09 20:00,21
29-09-09 19:00,25
29-09-09 18:00,31
29-09-09 17:00,34
29-09-09 16:00,36
29-09-09 15:00,32
29-09-09 14:00,29
29-09-09 13:00,31
29-09-09 12:00,26
29-09-09 11:00,30
29-09-09 10:00,30
29-09-09 09:00,36
29-09-09 08:00,38
29-09-09 07:00,43
29-09-09 06:00,32
29-09-09 05:00,23
29-09-09 04:00,19
29-09-09 03:00,17
29-09-09 02:00,16
29-09-09 01:00,16
29-09-09 00:00,19
28-09-09 23:00,17
28-09-09 22:00,22
28-09-09 21:00,24
28-09-09 20:00,35
28-09-09 19:00,37
28-09-09 18:00,52
28-09-09 17:00,51
28-09-09 16:00,61
28-09-09 15:00,53
28-09-09 14:00,45
28-09-09 13:00,40
28-09-09 12:00,33
28-09-09 11:00,44
28-09-09 10:00,44
28-09-09 09:00,56
28-09-09 08:00,56
28-09-09 07:00,59
28-09-09 06:00,51
28-09-09 05:00,35
28-09-09 04:00,29
28-09-09 03:00,26
28-09-09 02:00,21
28-09-09 01:00,18
28-09-09 00:00,23
27-09-09 23:00,25
27-09-09 22:00,41
27-09-09 21:00,48
27-09-09 20:00,49
27-09-09 19:00,38
27-09-09 18:00,23
27-09-09 17:00,12
27-09-09 16:00,16
27-09-09 15:00,16
27-09-09 14:00,13
27-09-09 13:00,15
27-09-09 12:00,21
27-09-09 11:00,27
27-09-09 10:00,24
27-09-09 09:00,23
27-09-09 08:00,18
27-09-09 07:00,19
27-09-09 06:00,18
27-09-09 05:00,18
27-09-09 04:00,17
27-09-09 03:00,17
27-09-09 02:00,20
27-09-09 01:00,22
27-09-09 00:00,24
26-09-09 23:00,30
26-09-09 22:00,40
26-09-09 21:00,45
26-09-09 20:00,32
26-09-09 19:00,34
26-09-09 18:00,24
26-09-09 17:00,26
26-09-09 16:00,17
26-09-09 15:00,18
26-09-09 14:00,20
26-09-09 13:00,21
26-09-09 12:00,25
26-09-09 11:00,30
26-09-09 10:00,33
26-09-09 09:00,28
26-09-09 08:00,25
26-09-09 07:00,26
26-09-09 06:00,22
26-09-09 05:00,20
26-09-09 04:00,19
26-09-09 03:00,20
26-09-09 02:00,20
26-09-09 01:00,22
26-09-09 00:00,23
