Datum Zeit,Glauchau PM10
,µg/m³
30-09-09,13
29-09-09,28
28-09-09,49
27-09-09,37
26-09-09,30
25-09-09,23
24-09-09,25
23-09-09,29
22-09-09,
21-09-09,
20-09-09,43
19-09-09,33
18-09-09,27
17-09-09,28
16-09-09,61
15-09-09,42
14-09-09,18
13-09-09,15
12-09-09,27
11-09-09,24
10-09-09,46
09-09-09,26
08-09-09,22
07-09-09,21
06-09-09,15
05-09-09,9
04-09-09,10
03-09-09,14
02-09-09,17
01-09-09,28

