Datum Zeit,Bautzen NO
,µg/m³
01-10-09 00:00,1
30-09-09 23:00,1
30-09-09 22:00,1
30-09-09 21:00,2
30-09-09 20:00,5
30-09-09 19:00,13
30-09-09 18:00,13
30-09-09 17:00,9
30-09-09 16:00,6
30-09-09 15:00,5
30-09-09 14:00,6
30-09-09 13:00,6
30-09-09 12:00,5
30-09-09 11:00,11
30-09-09 10:00,8
30-09-09 09:00,13
30-09-09 08:00,11
30-09-09 07:00,20
30-09-09 06:00,22
30-09-09 05:00,10
30-09-09 04:00,2
30-09-09 03:00,1
30-09-09 02:00,1
30-09-09 01:00,1
30-09-09 00:00,1
29-09-09 23:00,1
29-09-09 22:00,1
29-09-09 21:00,1
29-09-09 20:00,2
29-09-09 19:00,2
29-09-09 18:00,5
29-09-09 17:00,9
29-09-09 16:00,9
29-09-09 15:00,11
29-09-09 14:00,10
29-09-09 13:00,9
29-09-09 12:00,9
29-09-09 11:00,12
29-09-09 10:00,10
29-09-09 09:00,10
29-09-09 08:00,12
29-09-09 07:00,9
29-09-09 06:00,9
29-09-09 05:00,3
29-09-09 04:00,1
29-09-09 03:00,1
29-09-09 02:00,1
29-09-09 01:00,1
29-09-09 00:00,1
28-09-09 23:00,1
28-09-09 22:00,1
28-09-09 21:00,1
28-09-09 20:00,1
28-09-09 19:00,4
28-09-09 18:00,4
28-09-09 17:00,5
28-09-09 16:00,7
28-09-09 15:00,6
28-09-09 14:00,8
28-09-09 13:00,4
28-09-09 12:00,6
28-09-09 11:00,7
28-09-09 10:00,11
28-09-09 09:00,9
28-09-09 08:00,10
28-09-09 07:00,25
28-09-09 06:00,12
28-09-09 05:00,12
28-09-09 04:00,2
28-09-09 03:00,2
28-09-09 02:00,1
28-09-09 01:00,1
28-09-09 00:00,4
27-09-09 23:00,2
27-09-09 22:00,8
27-09-09 21:00,8
27-09-09 20:00,21
27-09-09 19:00,17
27-09-09 18:00,5
27-09-09 17:00,5
27-09-09 16:00,2
27-09-09 15:00,2
27-09-09 14:00,1
27-09-09 13:00,2
27-09-09 12:00,1
27-09-09 11:00,2
27-09-09 10:00,2
27-09-09 09:00,8
27-09-09 08:00,14
27-09-09 07:00,12
27-09-09 06:00,4
27-09-09 05:00,3
27-09-09 04:00,2
27-09-09 03:00,3
27-09-09 02:00,5
27-09-09 01:00,4
27-09-09 00:00,6
26-09-09 23:00,13
26-09-09 22:00,13
26-09-09 21:00,17
26-09-09 20:00,27
26-09-09 19:00,23
26-09-09 18:00,10
26-09-09 17:00,5
26-09-09 16:00,4
26-09-09 15:00,3
26-09-09 14:00,3
26-09-09 13:00,3
26-09-09 12:00,4
26-09-09 11:00,6
