Datum Zeit,Plauen-Sued PM10
,µg/m³
30-09-09,13
29-09-09,30
28-09-09,30
27-09-09,22
26-09-09,24
25-09-09,24
24-09-09,21
23-09-09,24
22-09-09,40
21-09-09,50
20-09-09,26
19-09-09,28
18-09-09,30
17-09-09,35
16-09-09,59
15-09-09,46
14-09-09,21
13-09-09,9
12-09-09,19
11-09-09,18
10-09-09,36
09-09-09,20
08-09-09,16
07-09-09,15
06-09-09,11
05-09-09,7
04-09-09,9
03-09-09,10
02-09-09,12
01-09-09,19

