Datum,Zeit,BEN,CO,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,mg/m3,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2000-01-01,01:00,3.5,,11,31,18,,,37.3
2000-01-01,02:00,2.1,,2,19,28,,,16.8
2000-01-01,03:00,2.3,,2,19,27,,,13.5
2000-01-01,04:00,2.2,,1,16,,,,15.2
2000-01-01,05:00,2.0,,1,15,32,,,15.4
2000-01-01,06:00,1.8,,1,13,33,,,9.8
2000-01-01,07:00,1.8,,1,10,36,,,8.8
2000-01-01,08:00,1.9,,1,11,34,,,9.2
2000-01-01,09:00,2.1,,1,11,33,,,10.3
2000-01-01,10:00,2.0,,1,11,35,,,11.2
2000-01-01,11:00,2.5,,1,14,33,,,13.5
2000-01-01,12:00,2.9,,2,17,25,,,12.5
2000-01-01,13:00,3.1,,3,17,24,,,12.3
2000-01-01,14:00,3.1,,3,18,23,,,
2000-01-01,15:00,3.2,,3,19,22,,,11.6
2000-01-01,16:00,5.0,,1,20,23,,,12.0
2000-01-01,17:00,3.3,,2,23,21,,,12.6
2000-01-01,18:00,3.3,,1,22,24,,,13.9
2000-01-01,19:00,3.2,,1,21,26,,,13.7
2000-01-01,20:00,3.1,,1,19,27,,,12.8
2000-01-01,21:00,3.1,,1,21,25,,,11.5
2000-01-01,22:00,3.3,,,,20,,,13.9
2000-01-01,23:00,3.4,,1,26,17,,,14.9
2000-01-02,00:00,,,1,24,19,,,14.7
2000-01-02,01:00,,,1,21,21,,,14.2
2000-01-02,02:00,,,1,18,23,,,13.4
2000-01-02,03:00,,,1,20,,,,12.0
2000-01-02,04:00,,,1,17,24,,,10.4
2000-01-02,05:00,2.9,,1,18,18,,,10.2
2000-01-02,06:00,2.8,,1,21,11,,,8.3
2000-01-02,07:00,3.1,,2,24,7,,,7.6
2000-01-02,08:00,3.2,,4,27,8,,,7.3
2000-01-02,09:00,2.9,,1,17,49,,,6.3
2000-01-02,10:00,1.6,,1,16,53,,,6.1
2000-01-02,11:00,2.1,,4,31,40,,,9.6
2000-01-02,12:00,5.0,,5,30,40,,,9.6
2000-01-02,13:00,4.4,,4,24,44,,,
2000-01-02,14:00,2.6,,3,22,46,,,7.0
2000-01-02,15:00,1.6,,1,15,56,,,7.5
2000-01-02,16:00,1.5,,3,22,49,,,6.7
2000-01-02,17:00,2.5,,5,32,36,,,6.3
2000-01-02,18:00,4.1,,5,30,31,,,6.1
2000-01-02,19:00,2.6,,9,34,19,,,5.0
2000-01-02,20:00,5.5,,10,33,23,,,4.9
2000-01-02,21:00,2.7,,2,20,41,,,6.9
2000-01-02,22:00,1.7,,,,40,,,5.5
2000-01-02,23:00,1.7,,1,16,38,,,4.3
2000-01-03,00:00,1.6,,1,15,38,,,5.8
2000-01-03,01:00,1.7,,1,15,36,,,9.0
2000-01-03,02:00,1.4,,1,15,36,,,12.8
2000-01-03,03:00,1.6,,1,19,,,,24.2
2000-01-03,04:00,1.5,,1,17,32,,,28.0
2000-01-03,05:00,1.7,,1,18,31,,,20.9
2000-01-03,06:00,1.7,,1,18,31,,,17.2
2000-01-03,07:00,1.9,,2,18,29,,,14.8
2000-01-03,08:00,2.3,,2,18,28,,,15.0
2000-01-03,09:00,1.9,,3,18,26,,,14.0
2000-01-03,10:00,2.8,,8,23,26,,,20.1
2000-01-03,11:00,2.6,,7,19,32,,,16.4
2000-01-03,12:00,3.2,,9,22,28,,,18.7
2000-01-03,13:00,2.3,,5,20,34,,,
2000-01-03,14:00,2.2,,4,21,34,,,16.8
