Datum Zeit,Zittau-Ost PM10
,µg/m³
31-12-10,48
30-12-10,64
29-12-10,81
28-12-10,43
27-12-10,28
26-12-10,31
25-12-10,8
24-12-10,31
23-12-10,45
22-12-10,55
21-12-10,32
20-12-10,28
19-12-10,35
18-12-10,49
17-12-10,28
16-12-10,48
15-12-10,30
14-12-10,11
13-12-10,10
12-12-10,5
11-12-10,8
10-12-10,16
09-12-10,14
08-12-10,76
07-12-10,119
06-12-10,70
05-12-10,29
04-12-10,65
03-12-10,114
02-12-10,36
01-12-10,48

