Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-12-10,24.31
30-12-10,45.76
29-12-10,59.72
28-12-10,20.35
27-12-10,22.92
26-12-10,17.32
25-12-10,11.76
24-12-10,15.71
23-12-10,38.55
22-12-10,35.72
21-12-10,25.74
20-12-10,17.88
19-12-10,13.91
18-12-10,22.37
17-12-10,24.56
16-12-10,20.38
15-12-10,17.22
14-12-10,18.26
13-12-10,10.48
12-12-10,
11-12-10,
10-12-10,10.85
09-12-10,15.25
08-12-10,73.96
07-12-10,67.66
06-12-10,33.90
05-12-10,15.87
04-12-10,31.66
03-12-10,50.31
02-12-10,34.44
01-12-10,39.42

