Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-12-10,47.82
30-12-10,75.95
29-12-10,56.78
28-12-10,21.50
27-12-10,21.83
26-12-10,14.68
25-12-10,9.37
24-12-10,20.39
23-12-10,32.42
22-12-10,37.07
21-12-10,25.33
20-12-10,17.39
19-12-10,33.91
18-12-10,49.33
17-12-10,25.99
16-12-10,30.18
15-12-10,13.60
14-12-10,13.42
13-12-10,10.11
12-12-10,4.41
11-12-10,4.95
10-12-10,9.42
09-12-10,15.24
08-12-10,86.71
07-12-10,71.69
06-12-10,43.71
05-12-10,28.49
04-12-10,65.92
03-12-10,54.44
02-12-10,28.62
01-12-10,34.92

