Datum Zeit,Leipzig-West PM10
,µg/m³
31-12-10,23
30-12-10,45
29-12-10,53
28-12-10,19
27-12-10,27
26-12-10,19
25-12-10,11
24-12-10,15
23-12-10,94
22-12-10,66
21-12-10,41
20-12-10,23
19-12-10,14
18-12-10,23
17-12-10,24
16-12-10,22
15-12-10,19
14-12-10,15
13-12-10,6
12-12-10,4
11-12-10,5
10-12-10,12
09-12-10,15
08-12-10,57
07-12-10,52
06-12-10,35
05-12-10,20
04-12-10,35
03-12-10,48
02-12-10,28
01-12-10,38

