Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-12-10,20.79
30-12-10,36.92
29-12-10,44.12
28-12-10,16.70
27-12-10,23.60
26-12-10,16.51
25-12-10,10.65
24-12-10,12.19
23-12-10,61.64
22-12-10,56.02
21-12-10,32.77
20-12-10,19.78
19-12-10,14.48
18-12-10,17.63
17-12-10,
16-12-10,17.89
15-12-10,15.10
14-12-10,11.65
13-12-10,7.31
12-12-10,3.00
11-12-10,3.83
10-12-10,8.08
09-12-10,11.84
08-12-10,50.78
07-12-10,48.50
06-12-10,28.82
05-12-10,17.72
04-12-10,31.21
03-12-10,41.44
02-12-10,21.67
01-12-10,28.10

