Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-12-10,48.27
30-12-10,71.17
29-12-10,59.52
28-12-10,21.31
27-12-10,19.86
26-12-10,14.95
25-12-10,11.19
24-12-10,19.73
23-12-10,32.46
22-12-10,39.30
21-12-10,28.13
20-12-10,17.22
19-12-10,36.69
18-12-10,50.05
17-12-10,29.67
16-12-10,29.83
15-12-10,15.11
14-12-10,14.06
13-12-10,9.34
12-12-10,3.75
11-12-10,3.88
10-12-10,8.79
09-12-10,15.38
08-12-10,84.88
07-12-10,71.80
06-12-10,44.63
05-12-10,31.79
04-12-10,62.16
03-12-10,51.20
02-12-10,28.02
01-12-10,35.61

