Datum Zeit,Collmberg PM2.5
,µg/m³
31-12-10,13.25
30-12-10,19.70
29-12-10,32.28
28-12-10,15.83
27-12-10,19.19
26-12-10,13.35
25-12-10,9.06
24-12-10,4.63
23-12-10,29.45
22-12-10,30.27
21-12-10,17.18
20-12-10,14.78
19-12-10,12.35
18-12-10,13.50
17-12-10,15.96
16-12-10,15.71
15-12-10,10.68
14-12-10,8.78
13-12-10,7.41
12-12-10,2.14
11-12-10,3.63
10-12-10,6.80
09-12-10,11.58
08-12-10,36.50
07-12-10,33.58
06-12-10,22.99
05-12-10,11.58
04-12-10,25.25
03-12-10,32.51
02-12-10,21.21
01-12-10,26.79

