Datum Zeit,Dresden-Bergstraße PM10
,µg/m³
31-07-08,32
30-07-08,33
29-07-08,31
28-07-08,24
27-07-08,24
26-07-08,33
25-07-08,34
24-07-08,25
23-07-08,22
22-07-08,15
21-07-08,15
20-07-08,12
19-07-08,15
18-07-08,22
17-07-08,29
16-07-08,26
15-07-08,26
14-07-08,25
13-07-08,18
12-07-08,21
11-07-08,27
10-07-08,23
09-07-08,19
08-07-08,18
07-07-08,24
06-07-08,19
05-07-08,20
04-07-08,25
03-07-08,33
02-07-08,30
01-07-08,26

