Datum Zeit,Plauen-Sued PM10
,µg/m³
31-07-11,10
30-07-11,6
29-07-11,15
28-07-11,19
27-07-11,19
26-07-11,13
25-07-11,10
24-07-11,10
23-07-11,11
22-07-11,11
21-07-11,16
20-07-11,15
19-07-11,12
18-07-11,8
17-07-11,7
16-07-11,12
15-07-11,11
14-07-11,9
13-07-11,12
12-07-11,16
11-07-11,14
10-07-11,9
09-07-11,11
08-07-11,11
07-07-11,16
06-07-11,17
05-07-11,13
04-07-11,11
03-07-11,4
02-07-11,7
01-07-11,9

