Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-07-11,5.05
30-07-11,5.32
29-07-11,13.06
28-07-11,15.23
27-07-11,17.04
26-07-11,10.00
25-07-11,8.36
24-07-11,6.32
23-07-11,6.32
22-07-11,7.57
21-07-11,12.43
20-07-11,10.69
19-07-11,6.94
18-07-11,7.71
17-07-11,6.60
16-07-11,8.58
15-07-11,7.16
14-07-11,6.11
13-07-11,15.09
12-07-11,13.17
11-07-11,10.76
10-07-11,9.47
09-07-11,10.46
08-07-11,9.83
07-07-11,13.16
06-07-11,13.47
05-07-11,8.26
04-07-11,
03-07-11,
02-07-11,5.89
01-07-11,11.51

