Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-07-11,3.95
30-07-11,4.62
29-07-11,7.01
28-07-11,7.88
27-07-11,11.87
26-07-11,7.34
25-07-11,5.03
24-07-11,4.55
23-07-11,4.06
22-07-11,3.51
21-07-11,8.20
20-07-11,6.61
19-07-11,4.99
18-07-11,3.63
17-07-11,4.91
16-07-11,8.21
15-07-11,5.65
14-07-11,4.12
13-07-11,8.15
12-07-11,11.82
11-07-11,7.88
10-07-11,7.24
09-07-11,7.76
08-07-11,6.36
07-07-11,7.90
06-07-11,8.29
05-07-11,7.86
04-07-11,6.49
03-07-11,2.42
02-07-11,4.65
01-07-11,7.22

