Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-07-11,5.59
30-07-11,
29-07-11,13.84
28-07-11,16.55
27-07-11,19.96
26-07-11,13.67
25-07-11,9.38
24-07-11,6.50
23-07-11,6.44
22-07-11,8.84
21-07-11,11.61
20-07-11,14.90
19-07-11,7.88
18-07-11,7.78
17-07-11,7.58
16-07-11,10.27
15-07-11,8.83
14-07-11,9.83
13-07-11,18.46
12-07-11,13.83
11-07-11,9.31
10-07-11,10.51
09-07-11,11.00
08-07-11,10.62
07-07-11,14.91
06-07-11,13.86
05-07-11,10.75
04-07-11,7.85
03-07-11,
02-07-11,6.56
01-07-11,12.37

