Datum Zeit,Collmberg PM2.5
,µg/m³
31-07-11,1.11
30-07-11,3.11
29-07-11,7.50
28-07-11,7.12
27-07-11,11.65
26-07-11,5.81
25-07-11,4.46
24-07-11,4.33
23-07-11,3.78
22-07-11,3.37
21-07-11,6.70
20-07-11,7.42
19-07-11,4.29
18-07-11,2.46
17-07-11,4.35
16-07-11,6.48
15-07-11,5.30
14-07-11,3.98
13-07-11,9.96
12-07-11,9.93
11-07-11,5.55
10-07-11,6.82
09-07-11,6.17
08-07-11,5.25
07-07-11,8.34
06-07-11,8.07
05-07-11,4.46
04-07-11,0.35
03-07-11,0.62
02-07-11,4.09
01-07-11,6.36

