Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-07-11,2.77
30-07-11,4.29
29-07-11,13.16
28-07-11,12.22
27-07-11,15.93
26-07-11,10.02
25-07-11,7.77
24-07-11,5.49
23-07-11,5.43
22-07-11,6.39
21-07-11,10.14
20-07-11,13.94
19-07-11,6.75
18-07-11,5.61
17-07-11,7.88
16-07-11,9.27
15-07-11,7.70
14-07-11,7.39
13-07-11,16.71
12-07-11,11.33
11-07-11,8.30
10-07-11,12.30
09-07-11,10.60
08-07-11,9.55
07-07-11,11.46
06-07-11,10.14
05-07-11,8.59
04-07-11,5.81
03-07-11,2.63
02-07-11,6.24
01-07-11,9.37

