Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-07-11,3.31
30-07-11,2.76
29-07-11,10.92
28-07-11,11.10
27-07-11,15.42
26-07-11,9.24
25-07-11,5.82
24-07-11,4.59
23-07-11,4.46
22-07-11,4.87
21-07-11,8.21
20-07-11,10.36
19-07-11,5.10
18-07-11,3.62
17-07-11,7.06
16-07-11,8.38
15-07-11,5.69
14-07-11,5.05
13-07-11,14.82
12-07-11,9.98
11-07-11,6.27
10-07-11,8.11
09-07-11,11.69
08-07-11,7.58
07-07-11,9.57
06-07-11,8.45
05-07-11,5.92
04-07-11,3.56
03-07-11,1.51
02-07-11,4.95
01-07-11,6.25

