Datum Zeit,Chemnitz-Leipziger Str. PM10
,µg/m³
31-07-11,8
30-07-11,8
29-07-11,24
28-07-11,23
27-07-11,26
26-07-11,18
25-07-11,14
24-07-11,10
23-07-11,16
22-07-11,16
21-07-11,21
20-07-11,22
19-07-11,13
18-07-11,13
17-07-11,11
16-07-11,15
15-07-11,15
14-07-11,14
13-07-11,26
12-07-11,23
11-07-11,18
10-07-11,14
09-07-11,19
08-07-11,20
07-07-11,21
06-07-11,23
05-07-11,15
04-07-11,10
03-07-11,3
02-07-11,14
01-07-11,20

