Datum Zeit,Leipzig-Luetzner Straße PM10
,µg/m³
31-05-06,14
30-05-06,35
29-05-06,24
28-05-06,10
27-05-06,12
26-05-06,16
25-05-06,9
24-05-06,27
23-05-06,31
22-05-06,41
21-05-06,11
20-05-06,15
19-05-06,21
18-05-06,27
17-05-06,57
16-05-06,60
15-05-06,63
14-05-06,31
13-05-06,38
12-05-06,73
11-05-06,104
10-05-06,43
09-05-06,73
08-05-06,117
07-05-06,61
06-05-06,90
05-05-06,70
04-05-06,74
03-05-06,106
02-05-06,168
01-05-06,36

