Datum Zeit,Schkeuditz O3
,µg/m³
01-06-06 00:00,78
31-05-06 23:00,73
31-05-06 22:00,58
31-05-06 21:00,45
31-05-06 20:00,45
31-05-06 19:00,65
31-05-06 18:00,45
31-05-06 17:00,41
31-05-06 16:00,35
31-05-06 15:00,38
31-05-06 14:00,46
31-05-06 13:00,48
31-05-06 12:00,49
31-05-06 11:00,53
31-05-06 10:00,46
31-05-06 09:00,49
31-05-06 08:00,53
31-05-06 07:00,51
31-05-06 06:00,55
31-05-06 05:00,52
31-05-06 04:00,51
31-05-06 03:00,56
31-05-06 02:00,57
31-05-06 01:00,60
31-05-06 00:00,62
30-05-06 23:00,69
30-05-06 22:00,75
30-05-06 21:00,70
30-05-06 20:00,74
30-05-06 19:00,74
30-05-06 18:00,69
30-05-06 17:00,73
30-05-06 16:00,66
30-05-06 15:00,63
30-05-06 14:00,67
30-05-06 13:00,65
30-05-06 12:00,74
30-05-06 11:00,70
30-05-06 10:00,67
30-05-06 09:00,63
30-05-06 08:00,60
30-05-06 07:00,52
30-05-06 06:00,37
30-05-06 05:00,32
30-05-06 04:00,40
30-05-06 03:00,44
30-05-06 02:00,52
30-05-06 01:00,47
30-05-06 00:00,39
29-05-06 23:00,53
29-05-06 22:00,67
29-05-06 21:00,59
29-05-06 20:00,62
29-05-06 19:00,69
29-05-06 18:00,71
29-05-06 17:00,76
29-05-06 16:00,79
29-05-06 15:00,80
29-05-06 14:00,80
29-05-06 13:00,83
29-05-06 12:00,79
29-05-06 11:00,75
29-05-06 10:00,64
29-05-06 09:00,60
29-05-06 08:00,41
29-05-06 07:00,17
29-05-06 06:00,18
29-05-06 05:00,22
29-05-06 04:00,33
29-05-06 03:00,43
29-05-06 02:00,42
29-05-06 01:00,40
29-05-06 00:00,46
28-05-06 23:00,69
28-05-06 22:00,74
28-05-06 21:00,79
28-05-06 20:00,75
28-05-06 19:00,78
28-05-06 18:00,87
28-05-06 17:00,84
28-05-06 16:00,83
28-05-06 15:00,81
28-05-06 14:00,83
28-05-06 13:00,80
28-05-06 12:00,76
28-05-06 11:00,76
28-05-06 10:00,69
28-05-06 09:00,65
