Datum Zeit,Collmberg PM2.5
,µg/m³
31-10-10,32.11
30-10-10,17.51
29-10-10,12.21
28-10-10,9.38
27-10-10,7.03
26-10-10,4.85
25-10-10,4.20
24-10-10,3.37
23-10-10,16.30
22-10-10,8.03
21-10-10,4.13
20-10-10,3.94
19-10-10,15.92
18-10-10,14.77
17-10-10,17.02
16-10-10,3.64
15-10-10,3.85
14-10-10,16.14
13-10-10,15.05
12-10-10,12.25
11-10-10,21.26
10-10-10,22.09
09-10-10,15.41
08-10-10,11.39
07-10-10,12.54
06-10-10,13.40
05-10-10,14.82
04-10-10,15.08
03-10-10,19.09
02-10-10,18.24
01-10-10,11.72

