Datum Zeit,Glauchau NO
,µg/m³
01-11-10 00:00,43
31-10-10 23:00,72
31-10-10 22:00,87
31-10-10 21:00,77
31-10-10 20:00,86
31-10-10 19:00,95
31-10-10 18:00,109
31-10-10 17:00,61
31-10-10 16:00,13
31-10-10 15:00,10
31-10-10 14:00,12
31-10-10 13:00,10
31-10-10 12:00,12
31-10-10 11:00,22
31-10-10 10:00,25
31-10-10 09:00,20
31-10-10 08:00,24
31-10-10 07:00,16
31-10-10 06:00,1
31-10-10 05:00,3
31-10-10 04:00,3
31-10-10 03:00,6
31-10-10 02:00,7
31-10-10 01:00,3
31-10-10 00:00,8
30-10-10 23:00,2
30-10-10 22:00,12
30-10-10 21:00,54
30-10-10 20:00,98
30-10-10 19:00,90
30-10-10 18:00,97
30-10-10 17:00,82
30-10-10 16:00,15
30-10-10 15:00,5
30-10-10 14:00,4
30-10-10 13:00,5
30-10-10 12:00,9
30-10-10 11:00,18
30-10-10 10:00,41
30-10-10 09:00,63
30-10-10 08:00,58
30-10-10 07:00,42
30-10-10 06:00,25
30-10-10 05:00,17
30-10-10 04:00,3
30-10-10 03:00,2
30-10-10 02:00,1
30-10-10 01:00,27
30-10-10 00:00,20
29-10-10 23:00,1
29-10-10 22:00,8
29-10-10 21:00,10
29-10-10 20:00,22
29-10-10 19:00,34
29-10-10 18:00,122
29-10-10 17:00,58
29-10-10 16:00,15
29-10-10 15:00,27
29-10-10 14:00,34
29-10-10 13:00,23
29-10-10 12:00,29
29-10-10 11:00,46
29-10-10 10:00,139
29-10-10 09:00,105
29-10-10 08:00,192
29-10-10 07:00,153
29-10-10 06:00,111
29-10-10 05:00,40
29-10-10 04:00,23
29-10-10 03:00,7
29-10-10 02:00,17
29-10-10 01:00,17
29-10-10 00:00,1
28-10-10 23:00,4
28-10-10 22:00,13
28-10-10 21:00,16
28-10-10 20:00,26
28-10-10 19:00,27
28-10-10 18:00,20
28-10-10 17:00,19
28-10-10 16:00,27
28-10-10 15:00,30
28-10-10 14:00,28
28-10-10 13:00,28
28-10-10 12:00,28
28-10-10 11:00,14
28-10-10 10:00,27
28-10-10 09:00,23
28-10-10 08:00,39
28-10-10 07:00,30
28-10-10 06:00,19
28-10-10 05:00,9
28-10-10 04:00,1
28-10-10 03:00,1
28-10-10 02:00,1
28-10-10 01:00,1
28-10-10 00:00,1
27-10-10 23:00,1
27-10-10 22:00,2
27-10-10 21:00,6
27-10-10 20:00,4
27-10-10 19:00,6
27-10-10 18:00,8
27-10-10 17:00,18
27-10-10 16:00,27
27-10-10 15:00,47
27-10-10 14:00,35
27-10-10 13:00,
27-10-10 12:00,
27-10-10 11:00,
27-10-10 10:00,
27-10-10 09:00,
27-10-10 08:00,
27-10-10 07:00,
27-10-10 06:00,
27-10-10 05:00,
27-10-10 04:00,
27-10-10 03:00,
27-10-10 02:00,
27-10-10 01:00,
27-10-10 00:00,
26-10-10 23:00,
26-10-10 22:00,
26-10-10 21:00,
26-10-10 20:00,
26-10-10 19:00,
26-10-10 18:00,
26-10-10 17:00,
26-10-10 16:00,
26-10-10 15:00,
26-10-10 14:00,
26-10-10 13:00,
26-10-10 12:00,14
26-10-10 11:00,16
26-10-10 10:00,22
26-10-10 09:00,31
26-10-10 08:00,46
26-10-10 07:00,38
26-10-10 06:00,25
26-10-10 05:00,5
26-10-10 04:00,1
26-10-10 03:00,1
26-10-10 02:00,1
26-10-10 01:00,1
26-10-10 00:00,2
25-10-10 23:00,18
25-10-10 22:00,34
25-10-10 21:00,53
25-10-10 20:00,63
25-10-10 19:00,48
25-10-10 18:00,48
25-10-10 17:00,44
25-10-10 16:00,27
25-10-10 15:00,29
25-10-10 14:00,24
25-10-10 13:00,16
25-10-10 12:00,18
25-10-10 11:00,21
25-10-10 10:00,38
25-10-10 09:00,58
25-10-10 08:00,39
25-10-10 07:00,91
25-10-10 06:00,40
25-10-10 05:00,18
25-10-10 04:00,31
25-10-10 03:00,14
25-10-10 02:00,6
25-10-10 01:00,9
25-10-10 00:00,1
24-10-10 23:00,1
24-10-10 22:00,6
24-10-10 21:00,6
24-10-10 20:00,2
24-10-10 19:00,7
24-10-10 18:00,4
24-10-10 17:00,3
24-10-10 16:00,3
24-10-10 15:00,3
24-10-10 14:00,2
24-10-10 13:00,2
24-10-10 12:00,1
24-10-10 11:00,1
24-10-10 10:00,2
24-10-10 09:00,1
24-10-10 08:00,1
24-10-10 07:00,1
24-10-10 06:00,1
24-10-10 05:00,1
24-10-10 04:00,1
24-10-10 03:00,1
24-10-10 02:00,1
24-10-10 01:00,1
24-10-10 00:00,1
23-10-10 23:00,1
23-10-10 22:00,2
23-10-10 21:00,2
23-10-10 20:00,3
23-10-10 19:00,5
23-10-10 18:00,4
23-10-10 17:00,4
23-10-10 16:00,3
23-10-10 15:00,6
23-10-10 14:00,5
23-10-10 13:00,5
23-10-10 12:00,9
23-10-10 11:00,13
23-10-10 10:00,26
23-10-10 09:00,37
23-10-10 08:00,89
23-10-10 07:00,46
23-10-10 06:00,4
23-10-10 05:00,8
23-10-10 04:00,2
23-10-10 03:00,1
23-10-10 02:00,1
23-10-10 01:00,2
23-10-10 00:00,1
22-10-10 23:00,2
22-10-10 22:00,2
22-10-10 21:00,3
22-10-10 20:00,5
22-10-10 19:00,7
22-10-10 18:00,9
22-10-10 17:00,13
22-10-10 16:00,15
22-10-10 15:00,35
22-10-10 14:00,30
22-10-10 13:00,32
22-10-10 12:00,35
22-10-10 11:00,21
22-10-10 10:00,29
22-10-10 09:00,36
22-10-10 08:00,28
22-10-10 07:00,31
22-10-10 06:00,19
22-10-10 05:00,5
22-10-10 04:00,1
22-10-10 03:00,1
22-10-10 02:00,3
22-10-10 01:00,1
22-10-10 00:00,1
21-10-10 23:00,1
21-10-10 22:00,1
21-10-10 21:00,2
21-10-10 20:00,3
21-10-10 19:00,4
21-10-10 18:00,11
21-10-10 17:00,11
21-10-10 16:00,22
21-10-10 15:00,14
21-10-10 14:00,15
21-10-10 13:00,11
21-10-10 12:00,14
21-10-10 11:00,14
21-10-10 10:00,13
21-10-10 09:00,32
21-10-10 08:00,21
