Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-10-10,39.41
30-10-10,22.96
29-10-10,21.81
28-10-10,18.81
27-10-10,15.22
26-10-10,13.28
25-10-10,14.46
24-10-10,20.10
23-10-10,19.73
22-10-10,14.65
21-10-10,20.56
20-10-10,13.56
19-10-10,23.23
18-10-10,
17-10-10,21.33
16-10-10,8.86
15-10-10,12.72
14-10-10,26.76
13-10-10,27.73
12-10-10,34.94
11-10-10,27.71
10-10-10,28.16
09-10-10,17.01
08-10-10,18.52
07-10-10,22.76
06-10-10,21.69
05-10-10,24.18
04-10-10,24.08
03-10-10,15.51
02-10-10,20.67
01-10-10,14.92

