Datum Zeit,Dresden-Nord O3
,µg/m³
01-11-10 00:00,47
31-10-10 23:00,49
31-10-10 22:00,47
31-10-10 21:00,43
31-10-10 20:00,42
31-10-10 19:00,35
31-10-10 18:00,34
31-10-10 17:00,33
31-10-10 16:00,36
31-10-10 15:00,40
31-10-10 14:00,37
31-10-10 13:00,43
31-10-10 12:00,39
31-10-10 11:00,37
31-10-10 10:00,39
31-10-10 09:00,43
31-10-10 08:00,42
31-10-10 07:00,47
31-10-10 06:00,46
31-10-10 05:00,47
31-10-10 04:00,50
31-10-10 03:00,51
31-10-10 02:00,49
31-10-10 01:00,43
31-10-10 00:00,41
30-10-10 23:00,41
30-10-10 22:00,44
30-10-10 21:00,44
30-10-10 20:00,42
30-10-10 19:00,40
30-10-10 18:00,44
30-10-10 17:00,48
30-10-10 16:00,52
30-10-10 15:00,51
30-10-10 14:00,54
30-10-10 13:00,52
30-10-10 12:00,46
30-10-10 11:00,45
30-10-10 10:00,42
30-10-10 09:00,41
30-10-10 08:00,43
30-10-10 07:00,44
30-10-10 06:00,44
30-10-10 05:00,42
30-10-10 04:00,37
30-10-10 03:00,33
30-10-10 02:00,30
30-10-10 01:00,29
30-10-10 00:00,29
29-10-10 23:00,30
29-10-10 22:00,30
29-10-10 21:00,21
29-10-10 20:00,13
29-10-10 19:00,9
29-10-10 18:00,9
29-10-10 17:00,12
29-10-10 16:00,16
29-10-10 15:00,21
29-10-10 14:00,24
29-10-10 13:00,18
29-10-10 12:00,18
29-10-10 11:00,12
29-10-10 10:00,9
29-10-10 09:00,4
29-10-10 08:00,1
29-10-10 07:00,1
29-10-10 06:00,1
29-10-10 05:00,2
29-10-10 04:00,5
29-10-10 03:00,5
29-10-10 02:00,5
29-10-10 01:00,2
29-10-10 00:00,1
28-10-10 23:00,1
28-10-10 22:00,1
28-10-10 21:00,1
28-10-10 20:00,1
28-10-10 19:00,1
28-10-10 18:00,3
28-10-10 17:00,5
28-10-10 16:00,20
28-10-10 15:00,28
28-10-10 14:00,33
28-10-10 13:00,17
28-10-10 12:00,13
28-10-10 11:00,6
28-10-10 10:00,6
28-10-10 09:00,4
28-10-10 08:00,2
28-10-10 07:00,1
28-10-10 06:00,3
28-10-10 05:00,8
28-10-10 04:00,12
28-10-10 03:00,14
28-10-10 02:00,11
28-10-10 01:00,13
28-10-10 00:00,13
27-10-10 23:00,6
27-10-10 22:00,6
27-10-10 21:00,4
27-10-10 20:00,2
27-10-10 19:00,3
27-10-10 18:00,9
27-10-10 17:00,10
27-10-10 16:00,7
27-10-10 15:00,20
27-10-10 14:00,23
27-10-10 13:00,24
27-10-10 12:00,18
27-10-10 11:00,15
27-10-10 10:00,10
27-10-10 09:00,5
27-10-10 08:00,2
27-10-10 07:00,1
27-10-10 06:00,2
27-10-10 05:00,4
27-10-10 04:00,7
27-10-10 03:00,9
27-10-10 02:00,10
27-10-10 01:00,9
27-10-10 00:00,3
26-10-10 23:00,1
26-10-10 22:00,1
26-10-10 21:00,1
26-10-10 20:00,1
26-10-10 19:00,1
26-10-10 18:00,2
26-10-10 17:00,12
26-10-10 16:00,41
26-10-10 15:00,41
26-10-10 14:00,41
26-10-10 13:00,34
26-10-10 12:00,29
26-10-10 11:00,22
26-10-10 10:00,18
26-10-10 09:00,17
26-10-10 08:00,11
26-10-10 07:00,10
26-10-10 06:00,13
26-10-10 05:00,26
26-10-10 04:00,35
26-10-10 03:00,27
26-10-10 02:00,34
26-10-10 01:00,26
26-10-10 00:00,4
25-10-10 23:00,1
25-10-10 22:00,1
25-10-10 21:00,1
25-10-10 20:00,1
25-10-10 19:00,1
25-10-10 18:00,2
25-10-10 17:00,9
25-10-10 16:00,26
25-10-10 15:00,27
25-10-10 14:00,23
25-10-10 13:00,22
25-10-10 12:00,21
25-10-10 11:00,16
25-10-10 10:00,11
25-10-10 09:00,4
25-10-10 08:00,1
25-10-10 07:00,1
25-10-10 06:00,1
25-10-10 05:00,1
25-10-10 04:00,10
25-10-10 03:00,24
25-10-10 02:00,31
25-10-10 01:00,35
25-10-10 00:00,32
24-10-10 23:00,26
24-10-10 22:00,20
24-10-10 21:00,35
24-10-10 20:00,32
24-10-10 19:00,25
24-10-10 18:00,24
24-10-10 17:00,32
24-10-10 16:00,46
24-10-10 15:00,47
24-10-10 14:00,48
24-10-10 13:00,47
24-10-10 12:00,40
24-10-10 11:00,46
24-10-10 10:00,46
24-10-10 09:00,43
24-10-10 08:00,49
24-10-10 07:00,54
24-10-10 06:00,61
24-10-10 05:00,59
24-10-10 04:00,60
24-10-10 03:00,54
24-10-10 02:00,36
24-10-10 01:00,32
24-10-10 00:00,23
23-10-10 23:00,20
23-10-10 22:00,23
23-10-10 21:00,20
23-10-10 20:00,9
23-10-10 19:00,11
23-10-10 18:00,10
23-10-10 17:00,27
23-10-10 16:00,27
23-10-10 15:00,39
23-10-10 14:00,37
23-10-10 13:00,30
23-10-10 12:00,23
23-10-10 11:00,17
23-10-10 10:00,13
23-10-10 09:00,11
23-10-10 08:00,8
23-10-10 07:00,6
23-10-10 06:00,7
23-10-10 05:00,8
23-10-10 04:00,9
23-10-10 03:00,11
23-10-10 02:00,11
23-10-10 01:00,28
23-10-10 00:00,25
22-10-10 23:00,18
22-10-10 22:00,24
22-10-10 21:00,17
22-10-10 20:00,14
22-10-10 19:00,10
22-10-10 18:00,19
22-10-10 17:00,24
22-10-10 16:00,19
22-10-10 15:00,25
22-10-10 14:00,25
22-10-10 13:00,27
22-10-10 12:00,33
22-10-10 11:00,36
22-10-10 10:00,29
22-10-10 09:00,21
22-10-10 08:00,12
22-10-10 07:00,12
22-10-10 06:00,12
22-10-10 05:00,10
22-10-10 04:00,13
22-10-10 03:00,23
22-10-10 02:00,31
22-10-10 01:00,35
22-10-10 00:00,32
21-10-10 23:00,31
21-10-10 22:00,28
21-10-10 21:00,30
21-10-10 20:00,23
21-10-10 19:00,15
21-10-10 18:00,12
21-10-10 17:00,16
21-10-10 16:00,21
21-10-10 15:00,23
21-10-10 14:00,31
21-10-10 13:00,37
21-10-10 12:00,34
21-10-10 11:00,31
21-10-10 10:00,32
21-10-10 09:00,25
21-10-10 08:00,18
21-10-10 07:00,17
21-10-10 06:00,33
21-10-10 05:00,40
21-10-10 04:00,44
21-10-10 03:00,46
21-10-10 02:00,47
21-10-10 01:00,48
21-10-10 00:00,45
20-10-10 23:00,44
20-10-10 22:00,38
20-10-10 21:00,33
20-10-10 20:00,26
20-10-10 19:00,23
20-10-10 18:00,13
20-10-10 17:00,14
20-10-10 16:00,26
20-10-10 15:00,23
20-10-10 14:00,34
20-10-10 13:00,30
20-10-10 12:00,22
20-10-10 11:00,17
20-10-10 10:00,16
20-10-10 09:00,11
20-10-10 08:00,6
20-10-10 07:00,2
20-10-10 06:00,7
20-10-10 05:00,14
20-10-10 04:00,19
20-10-10 03:00,25
20-10-10 02:00,22
20-10-10 01:00,19
20-10-10 00:00,17
19-10-10 23:00,11
19-10-10 22:00,10
19-10-10 21:00,15
19-10-10 20:00,14
19-10-10 19:00,12
19-10-10 18:00,10
19-10-10 17:00,11
19-10-10 16:00,9
19-10-10 15:00,17
19-10-10 14:00,11
19-10-10 13:00,7
19-10-10 12:00,11
19-10-10 11:00,4
19-10-10 10:00,2
19-10-10 09:00,2
19-10-10 08:00,1
19-10-10 07:00,1
19-10-10 06:00,1
19-10-10 05:00,2
19-10-10 04:00,4
19-10-10 03:00,2
19-10-10 02:00,1
19-10-10 01:00,1
19-10-10 00:00,2
18-10-10 23:00,1
18-10-10 22:00,1
18-10-10 21:00,1
18-10-10 20:00,1
18-10-10 19:00,1
18-10-10 18:00,2
18-10-10 17:00,13
18-10-10 16:00,21
18-10-10 15:00,24
18-10-10 14:00,20
18-10-10 13:00,19
18-10-10 12:00,14
18-10-10 11:00,12
18-10-10 10:00,7
18-10-10 09:00,2
18-10-10 08:00,1
18-10-10 07:00,1
18-10-10 06:00,1
18-10-10 05:00,1
18-10-10 04:00,2
18-10-10 03:00,6
18-10-10 02:00,15
18-10-10 01:00,27
18-10-10 00:00,24
17-10-10 23:00,27
17-10-10 22:00,44
17-10-10 21:00,37
17-10-10 20:00,30
17-10-10 19:00,38
17-10-10 18:00,36
17-10-10 17:00,56
17-10-10 16:00,59
17-10-10 15:00,66
17-10-10 14:00,62
17-10-10 13:00,57
17-10-10 12:00,59
17-10-10 11:00,49
17-10-10 10:00,36
17-10-10 09:00,24
17-10-10 08:00,11
17-10-10 07:00,6
17-10-10 06:00,11
17-10-10 05:00,15
17-10-10 04:00,18
17-10-10 03:00,15
17-10-10 02:00,11
17-10-10 01:00,13
17-10-10 00:00,9
16-10-10 23:00,9
16-10-10 22:00,6
16-10-10 21:00,3
16-10-10 20:00,1
16-10-10 19:00,1
16-10-10 18:00,4
16-10-10 17:00,12
16-10-10 16:00,17
16-10-10 15:00,20
16-10-10 14:00,26
16-10-10 13:00,33
16-10-10 12:00,28
16-10-10 11:00,18
16-10-10 10:00,8
16-10-10 09:00,5
16-10-10 08:00,3
16-10-10 07:00,2
16-10-10 06:00,6
16-10-10 05:00,9
16-10-10 04:00,13
16-10-10 03:00,17
16-10-10 02:00,17
16-10-10 01:00,12
16-10-10 00:00,3
15-10-10 23:00,1
15-10-10 22:00,2
15-10-10 21:00,1
15-10-10 20:00,2
15-10-10 19:00,2
15-10-10 18:00,3
15-10-10 17:00,8
15-10-10 16:00,13
15-10-10 15:00,19
15-10-10 14:00,24
15-10-10 13:00,20
15-10-10 12:00,16
15-10-10 11:00,21
15-10-10 10:00,17
15-10-10 09:00,12
15-10-10 08:00,9
15-10-10 07:00,7
15-10-10 06:00,10
15-10-10 05:00,16
15-10-10 04:00,23
15-10-10 03:00,21
15-10-10 02:00,24
15-10-10 01:00,28
15-10-10 00:00,24
14-10-10 23:00,16
14-10-10 22:00,13
14-10-10 21:00,9
14-10-10 20:00,10
14-10-10 19:00,13
14-10-10 18:00,11
14-10-10 17:00,12
14-10-10 16:00,21
14-10-10 15:00,22
14-10-10 14:00,19
14-10-10 13:00,19
14-10-10 12:00,16
14-10-10 11:00,11
14-10-10 10:00,2
14-10-10 09:00,1
14-10-10 08:00,1
14-10-10 07:00,1
14-10-10 06:00,1
14-10-10 05:00,1
14-10-10 04:00,1
14-10-10 03:00,1
14-10-10 02:00,3
14-10-10 01:00,1
14-10-10 00:00,1
13-10-10 23:00,1
13-10-10 22:00,2
13-10-10 21:00,2
13-10-10 20:00,10
13-10-10 19:00,15
13-10-10 18:00,39
13-10-10 17:00,41
13-10-10 16:00,52
13-10-10 15:00,61
13-10-10 14:00,47
13-10-10 13:00,34
13-10-10 12:00,40
13-10-10 11:00,35
13-10-10 10:00,25
13-10-10 09:00,10
13-10-10 08:00,3
13-10-10 07:00,6
13-10-10 06:00,33
13-10-10 05:00,41
13-10-10 04:00,37
13-10-10 03:00,36
13-10-10 02:00,43
13-10-10 01:00,38
13-10-10 00:00,15
12-10-10 23:00,6
12-10-10 22:00,1
12-10-10 21:00,1
12-10-10 20:00,2
12-10-10 19:00,5
12-10-10 18:00,12
12-10-10 17:00,17
12-10-10 16:00,18
12-10-10 15:00,11
12-10-10 14:00,7
12-10-10 13:00,6
12-10-10 12:00,6
12-10-10 11:00,7
12-10-10 10:00,13
12-10-10 09:00,11
12-10-10 08:00,11
12-10-10 07:00,10
12-10-10 06:00,16
12-10-10 05:00,11
12-10-10 04:00,19
12-10-10 03:00,20
12-10-10 02:00,12
12-10-10 01:00,5
12-10-10 00:00,4
11-10-10 23:00,1
11-10-10 22:00,1
