Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-10-10,30.23
30-10-10,30.53
29-10-10,26.24
28-10-10,20.06
27-10-10,16.80
26-10-10,10.28
25-10-10,13.71
24-10-10,6.05
23-10-10,22.33
22-10-10,10.71
21-10-10,7.90
20-10-10,7.91
19-10-10,23.81
18-10-10,26.56
17-10-10,17.45
16-10-10,15.02
15-10-10,13.44
14-10-10,28.95
13-10-10,23.23
12-10-10,35.83
11-10-10,25.33
10-10-10,24.55
09-10-10,20.81
08-10-10,13.36
07-10-10,13.34
06-10-10,8.59
05-10-10,14.38
04-10-10,17.10
03-10-10,16.77
02-10-10,17.58
01-10-10,13.66

