Datum Zeit,Goerlitz NO2
,µg/m³
01-11-10 00:00,22
31-10-10 23:00,28
31-10-10 22:00,23
31-10-10 21:00,26
31-10-10 20:00,36
31-10-10 19:00,33
31-10-10 18:00,33
31-10-10 17:00,27
31-10-10 16:00,24
31-10-10 15:00,22
31-10-10 14:00,19
31-10-10 13:00,17
31-10-10 12:00,19
31-10-10 11:00,29
31-10-10 10:00,36
31-10-10 09:00,39
31-10-10 08:00,36
31-10-10 07:00,32
31-10-10 06:00,32
31-10-10 05:00,20
31-10-10 04:00,27
31-10-10 03:00,35
31-10-10 02:00,37
31-10-10 01:00,34
31-10-10 00:00,45
30-10-10 23:00,49
30-10-10 22:00,57
30-10-10 21:00,51
30-10-10 20:00,44
30-10-10 19:00,24
30-10-10 18:00,29
30-10-10 17:00,30
30-10-10 16:00,28
30-10-10 15:00,45
30-10-10 14:00,33
30-10-10 13:00,22
30-10-10 12:00,23
30-10-10 11:00,35
30-10-10 10:00,49
30-10-10 09:00,45
30-10-10 08:00,38
30-10-10 07:00,26
30-10-10 06:00,25
30-10-10 05:00,26
30-10-10 04:00,24
30-10-10 03:00,22
30-10-10 02:00,28
30-10-10 01:00,42
30-10-10 00:00,40
29-10-10 23:00,35
29-10-10 22:00,51
29-10-10 21:00,46
29-10-10 20:00,59
29-10-10 19:00,82
29-10-10 18:00,73
29-10-10 17:00,57
29-10-10 16:00,54
29-10-10 15:00,53
29-10-10 14:00,60
29-10-10 13:00,53
29-10-10 12:00,48
29-10-10 11:00,39
29-10-10 10:00,39
29-10-10 09:00,41
29-10-10 08:00,50
29-10-10 07:00,52
29-10-10 06:00,40
29-10-10 05:00,36
29-10-10 04:00,24
29-10-10 03:00,22
29-10-10 02:00,24
29-10-10 01:00,24
29-10-10 00:00,23
28-10-10 23:00,23
28-10-10 22:00,29
28-10-10 21:00,30
28-10-10 20:00,34
28-10-10 19:00,34
28-10-10 18:00,40
28-10-10 17:00,42
28-10-10 16:00,40
28-10-10 15:00,36
28-10-10 14:00,35
28-10-10 13:00,30
28-10-10 12:00,29
28-10-10 11:00,35
28-10-10 10:00,34
28-10-10 09:00,29
28-10-10 08:00,35
28-10-10 07:00,35
28-10-10 06:00,29
28-10-10 05:00,22
28-10-10 04:00,19
28-10-10 03:00,18
28-10-10 02:00,17
28-10-10 01:00,14
28-10-10 00:00,15
27-10-10 23:00,16
27-10-10 22:00,18
27-10-10 21:00,24
27-10-10 20:00,28
27-10-10 19:00,32
27-10-10 18:00,33
27-10-10 17:00,40
27-10-10 16:00,39
27-10-10 15:00,38
27-10-10 14:00,33
27-10-10 13:00,34
27-10-10 12:00,29
27-10-10 11:00,39
27-10-10 10:00,39
27-10-10 09:00,42
27-10-10 08:00,55
27-10-10 07:00,68
27-10-10 06:00,47
27-10-10 05:00,36
27-10-10 04:00,27
27-10-10 03:00,20
27-10-10 02:00,22
27-10-10 01:00,23
27-10-10 00:00,25
26-10-10 23:00,30
26-10-10 22:00,46
26-10-10 21:00,40
26-10-10 20:00,42
26-10-10 19:00,59
26-10-10 18:00,72
26-10-10 17:00,80
26-10-10 16:00,50
26-10-10 15:00,38
26-10-10 14:00,42
26-10-10 13:00,33
26-10-10 12:00,29
26-10-10 11:00,31
26-10-10 10:00,38
26-10-10 09:00,34
26-10-10 08:00,34
26-10-10 07:00,30
26-10-10 06:00,25
26-10-10 05:00,17
26-10-10 04:00,12
26-10-10 03:00,11
26-10-10 02:00,14
26-10-10 01:00,17
26-10-10 00:00,24
25-10-10 23:00,35
25-10-10 22:00,32
25-10-10 21:00,36
25-10-10 20:00,56
25-10-10 19:00,63
25-10-10 18:00,60
25-10-10 17:00,48
25-10-10 16:00,45
25-10-10 15:00,39
25-10-10 14:00,40
25-10-10 13:00,39
25-10-10 12:00,41
25-10-10 11:00,42
25-10-10 10:00,43
25-10-10 09:00,41
25-10-10 08:00,55
25-10-10 07:00,61
25-10-10 06:00,53
25-10-10 05:00,34
25-10-10 04:00,23
25-10-10 03:00,21
25-10-10 02:00,13
25-10-10 01:00,9
25-10-10 00:00,12
24-10-10 23:00,14
24-10-10 22:00,12
24-10-10 21:00,16
24-10-10 20:00,29
24-10-10 19:00,23
24-10-10 18:00,28
24-10-10 17:00,25
24-10-10 16:00,25
24-10-10 15:00,19
24-10-10 14:00,18
24-10-10 13:00,20
24-10-10 12:00,21
24-10-10 11:00,20
24-10-10 10:00,18
24-10-10 09:00,18
24-10-10 08:00,17
24-10-10 07:00,11
24-10-10 06:00,10
24-10-10 05:00,12
24-10-10 04:00,13
24-10-10 03:00,12
24-10-10 02:00,12
24-10-10 01:00,14
24-10-10 00:00,13
23-10-10 23:00,16
23-10-10 22:00,20
23-10-10 21:00,18
23-10-10 20:00,31
23-10-10 19:00,40
23-10-10 18:00,35
23-10-10 17:00,42
23-10-10 16:00,32
23-10-10 15:00,27
23-10-10 14:00,26
23-10-10 13:00,27
23-10-10 12:00,39
23-10-10 11:00,34
23-10-10 10:00,34
23-10-10 09:00,33
23-10-10 08:00,29
23-10-10 07:00,32
23-10-10 06:00,28
23-10-10 05:00,25
23-10-10 04:00,21
23-10-10 03:00,20
23-10-10 02:00,
23-10-10 01:00,22
23-10-10 00:00,24
22-10-10 23:00,20
22-10-10 22:00,29
